customer_id,age,income,region,risk_score,risk_band
100225,57,3935.47,PE,0.481,MEDIUM
100226,36,4274.35,MG,0.3464,LOW
100227,61,2838.12,PR,0.3213,LOW
100228,49,6438.51,RJ,0.9578,HIGH
100229,48,3499.89,BA,0.4285,MEDIUM
100230,29,3707.09,SP,0.0639,LOW
100231,44,5625.47,RJ,0.2529,LOW
100232,63,3837.6,SP,0.732,HIGH
100233,21,3752.04,SP,0.2257,LOW
100234,58,4221.37,PR,0.5348,MEDIUM
100235,45,6152.48,SP,0.1188,LOW
100236,56,9257.2,SP,0.2502,LOW
100237,54,5562.89,BA,0.4016,MEDIUM
100238,42,6176.03,SP,0.6291,MEDIUM
100239,36,3815.82,PR,0.4588,MEDIUM
100240,52,2990.2,RJ,0.4398,MEDIUM
100241,28,5748.84,PE,0.1782,LOW
100242,50,4559.81,SC,0.3807,MEDIUM
100243,25,2121.71,SP,0.4059,MEDIUM
100244,53,3588.06,PE,0.3515,MEDIUM
100245,52,4036.16,RJ,0.6706,HIGH
100246,25,3287.29,SP,0.1884,LOW
100247,58,8553.3,SC,0.1327,LOW
100248,41,5287.83,RS,0.4059,MEDIUM
100249,60,8119.01,RJ,0.5495,MEDIUM
100250,23,4766.1,RJ,0.4631,MEDIUM
100251,29,4367.32,SP,0.5714,MEDIUM
100252,45,2679.2,PR,0.7277,HIGH
100253,30,4224.12,PE,0.2572,LOW
100254,37,4226.4,RJ,0.1603,LOW
100255,54,2179.01,PE,0.6276,MEDIUM
100256,28,3241.74,SP,0.3114,LOW
100257,54,3596.31,BA,0.3777,MEDIUM
100258,26,5122.05,PE,0.4907,MEDIUM
100259,29,5241.11,SC,0.4806,MEDIUM
100260,50,3177.36,SP,0.8948,HIGH
100261,60,5260.06,RJ,0.4905,MEDIUM
100262,29,3848.51,SP,0.1369,LOW
100263,35,1400.0,PR,0.8304,HIGH
100264,67,3328.19,PE,0.6543,HIGH
100265,70,7049.8,RJ,0.4343,MEDIUM
100266,50,1873.52,SP,0.5415,MEDIUM
100267,43,4433.44,SP,0.2869,LOW
100268,38,8989.07,PR,0.5573,MEDIUM
100269,51,2915.35,PR,0.2004,LOW
100270,50,4204.33,SP,0.3603,MEDIUM
100271,35,2246.01,RS,0.2705,LOW
100272,22,9172.0,SP,0.4561,MEDIUM
100273,28,4035.32,PR,0.4387,MEDIUM
100274,68,4295.06,MG,0.1189,LOW
100275,41,8045.79,SP,0.486,MEDIUM
100276,45,5769.55,SC,0.1317,LOW
100277,44,2758.76,SC,0.5502,MEDIUM
100278,60,3078.34,MG,0.5013,MEDIUM
100279,24,5326.27,BA,0.2297,LOW
100280,25,3112.75,MG,0.1198,LOW
100281,34,1520.15,SP,0.5264,MEDIUM
100282,45,4094.03,PE,0.6033,MEDIUM
100283,54,2063.87,PE,0.2484,LOW
100284,45,9123.92,SP,0.412,MEDIUM
100285,43,4571.96,PE,0.3209,LOW
100286,67,2719.91,RS,0.9295,HIGH
100287,29,3003.39,SP,0.3366,LOW
100288,49,1695.83,MG,0.422,MEDIUM
100289,48,2477.73,SP,0.782,HIGH
100290,44,6840.9,PR,0.2331,LOW
100291,61,12260.0,PE,0.4441,MEDIUM
100292,34,5952.16,RJ,0.4425,MEDIUM
100293,68,4018.48,MG,0.4762,MEDIUM
100294,37,3413.52,SP,0.2929,LOW
100295,48,2653.73,PR,0.8805,HIGH
100296,47,11288.36,BA,0.5473,MEDIUM
100297,63,3836.21,SP,0.3389,LOW
100298,42,11595.15,PR,0.1793,LOW
100299,35,8198.69,RJ,0.5689,MEDIUM
100300,22,1821.21,RS,0.4364,MEDIUM
100301,39,3050.87,SC,0.444,MEDIUM
100302,62,3046.35,SC,0.557,MEDIUM
100303,21,4042.08,RJ,0.4179,MEDIUM
100304,65,4080.15,PR,0.3889,MEDIUM
100305,48,17694.95,SC,0.2676,LOW
100306,28,2504.31,SC,0.7072,HIGH
100307,36,4687.93,PR,0.5389,MEDIUM
100308,48,5646.34,BA,0.1877,LOW
100309,36,4196.83,SP,0.4953,MEDIUM
100310,26,4428.1,SP,0.419,MEDIUM
100311,54,2543.59,PE,0.5825,MEDIUM
100312,54,4420.26,SP,0.3832,MEDIUM
100313,26,5368.54,PE,0.1411,LOW
100314,35,4915.2,PR,0.2893,LOW
100315,33,5522.23,PE,0.3916,MEDIUM
100316,53,8274.15,PR,0.323,LOW
100317,57,6585.22,BA,0.5076,MEDIUM
100318,57,4346.22,RS,0.3085,LOW
100319,67,2393.22,MG,0.4109,MEDIUM
100320,59,3148.99,RJ,0.4598,MEDIUM
100321,37,3779.76,SP,0.2138,LOW
100322,26,4740.82,SP,0.2174,LOW
100323,51,3338.38,PE,0.2923,LOW
100324,66,2680.31,SP,0.1697,LOW
100325,69,2374.41,RS,0.5273,MEDIUM
100326,32,1901.26,MG,0.6742,HIGH
100327,32,3752.07,RJ,0.2152,LOW
100328,22,2074.34,PE,0.7041,HIGH
100329,28,2598.23,SP,0.5819,MEDIUM
100330,48,3476.45,PR,0.4307,MEDIUM
100331,48,2211.88,MG,0.2279,LOW
100332,39,5039.8,SP,0.3883,MEDIUM
100333,36,5991.8,SP,0.4446,MEDIUM
100334,62,3226.38,SC,0.1902,LOW
100335,44,3405.23,SP,0.5179,MEDIUM
100336,61,5436.04,BA,0.1618,LOW
100337,69,2981.32,PR,0.593,MEDIUM
100338,36,2884.56,SP,0.7971,HIGH
100339,31,7458.87,SP,0.3992,MEDIUM
100340,68,6420.49,SP,0.327,LOW
100341,52,5605.95,BA,0.6488,MEDIUM
100342,35,6549.53,PR,0.6791,HIGH
100343,52,1625.78,SP,0.4694,MEDIUM
100344,46,8043.99,PR,0.3522,MEDIUM
100345,66,5069.66,MG,0.7245,HIGH
100346,33,6822.73,SC,0.1816,LOW
100347,70,5057.75,SP,0.5833,MEDIUM
100348,67,4299.8,SP,0.5415,MEDIUM
100349,30,3680.09,RJ,0.2761,LOW
100350,29,5009.39,SC,0.2594,LOW
100351,47,3616.28,SC,0.1352,LOW
100352,23,6370.42,SP,0.2491,LOW
100353,35,1961.26,SP,0.2163,LOW
100354,42,3238.56,SC,0.1341,LOW
100355,69,11207.68,SP,0.4328,MEDIUM
100356,70,3109.82,PR,0.3515,MEDIUM
100357,28,3745.35,MG,0.685,HIGH
100358,65,2749.57,SP,0.3918,MEDIUM
100359,25,4934.69,MG,0.6017,MEDIUM
100360,58,2949.62,SP,0.4271,MEDIUM
100361,63,3841.99,PR,0.6095,MEDIUM
100362,65,6312.55,SP,0.521,MEDIUM
100363,32,3003.2,RJ,0.2839,LOW
100364,65,6132.59,MG,0.4594,MEDIUM
100365,26,6232.36,SP,0.2709,LOW
100366,46,6968.94,PR,0.0664,LOW
100367,44,4493.11,RS,0.2109,LOW
100368,36,19903.37,PE,0.4021,MEDIUM
100369,22,6967.53,SP,0.6885,HIGH
100370,59,4908.78,SP,0.3651,MEDIUM
100371,37,2758.37,RJ,0.6254,MEDIUM
100372,54,4008.82,PE,0.4242,MEDIUM
100373,41,8328.82,RJ,0.4175,MEDIUM
100374,39,9541.6,RJ,0.3479,LOW
100375,65,8539.33,RS,0.569,MEDIUM
100376,25,6122.54,SP,0.4174,MEDIUM
100377,57,2298.75,PR,0.187,LOW
100378,58,5306.45,MG,0.8267,HIGH
100379,39,2314.54,PR,0.1689,LOW
100380,34,2056.69,RS,0.2322,LOW
100381,21,4710.91,RJ,0.4738,MEDIUM
100382,67,5399.04,SC,0.3045,LOW
100383,68,6479.9,MG,0.7115,HIGH
100384,33,5331.91,SP,0.4957,MEDIUM
100385,22,5420.81,PE,0.3741,MEDIUM
100386,27,2618.11,RS,0.4231,MEDIUM
100387,24,3993.61,PE,0.1163,LOW
100388,62,2037.39,RS,0.8664,HIGH
100389,65,1605.55,SP,0.4685,MEDIUM
100390,28,5993.01,MG,0.1482,LOW
100391,58,2925.85,RJ,0.5841,MEDIUM
100392,29,6384.57,SP,0.3567,MEDIUM
100393,39,7149.85,RJ,0.2619,LOW
100394,50,3119.94,RJ,0.1527,LOW
100395,56,5575.79,SP,0.0836,LOW
100396,64,3057.9,BA,0.1924,LOW
100397,23,1731.63,SP,0.2777,LOW
100398,30,4456.1,MG,0.2477,LOW
100399,35,3350.35,RS,0.336,LOW
100400,36,3400.23,PR,0.5819,MEDIUM
100401,70,10840.07,SP,0.201,LOW
100402,59,2019.14,PR,0.4353,MEDIUM
100403,37,5047.35,RS,0.1262,LOW
100404,69,2605.38,BA,0.4461,MEDIUM
100405,45,6495.11,RJ,0.3552,MEDIUM
100406,46,4846.86,SP,0.1655,LOW
100407,42,5038.81,PR,0.258,LOW
100408,28,2668.56,SP,0.262,LOW
100409,67,2908.4,RS,0.2157,LOW
100410,21,6554.58,SC,0.72,HIGH
100411,29,9826.35,RS,0.3336,LOW
100412,32,5289.02,PE,0.3127,LOW
100413,34,2730.06,PR,0.4821,MEDIUM
100414,27,4942.02,PE,0.2284,LOW
100415,21,13467.39,SC,0.7781,HIGH
100416,54,4411.64,SP,0.3611,MEDIUM
100417,69,8472.01,BA,0.6335,MEDIUM
100418,27,2943.87,SC,0.338,LOW
100419,35,4116.01,PE,0.6447,MEDIUM
100420,46,5654.64,SP,0.3514,MEDIUM
100421,67,5082.49,RJ,0.4079,MEDIUM
100422,55,2907.28,BA,0.6076,MEDIUM
100423,59,2847.71,SP,0.5632,MEDIUM
100424,50,6749.45,SC,0.3539,MEDIUM
100425,41,7441.18,PR,0.5377,MEDIUM
100426,30,8679.06,SP,0.2934,LOW
100427,64,9983.87,SP,0.5753,MEDIUM
100428,61,4480.35,BA,0.4967,MEDIUM
100429,22,3617.23,SP,0.2499,LOW
100430,56,8033.02,RS,0.4204,MEDIUM
100431,25,5914.21,RS,0.2631,LOW
100432,57,2620.87,SC,0.3456,LOW
100433,62,2557.27,RJ,0.3815,MEDIUM
100434,27,5318.6,SP,0.0608,LOW
100435,42,3857.4,BA,0.4436,MEDIUM
100436,27,4147.05,SP,0.2574,LOW
100437,49,7027.99,SP,0.2848,LOW
100438,67,6046.15,PE,0.5195,MEDIUM
100439,25,7952.0,RJ,0.2492,LOW
100440,40,1661.88,SP,0.2901,LOW
100441,69,4743.22,PE,0.7052,HIGH
100442,36,5862.26,SP,0.1401,LOW
100443,27,2018.44,SP,0.4129,MEDIUM
100444,45,3067.11,MG,0.2878,LOW
100445,46,2805.7,RS,0.4889,MEDIUM
100446,54,4243.97,PE,0.2431,LOW
100447,36,9174.74,RS,0.2809,LOW
100448,68,11088.71,PE,0.2578,LOW
100449,47,2841.2,SP,0.6502,HIGH
100450,35,5407.74,PR,0.4576,MEDIUM
100451,69,5492.08,SP,0.26,LOW
100452,67,5058.88,PE,0.7084,HIGH
100453,45,5086.52,PE,0.1009,LOW
100454,22,4859.23,RJ,0.117,LOW
100455,50,9441.53,BA,0.4257,MEDIUM
100456,48,7129.69,SC,0.3021,LOW
100457,28,2524.92,SP,0.4128,MEDIUM
100458,52,6153.56,PR,0.9091,HIGH
100459,63,6445.77,PE,0.4277,MEDIUM
100460,26,4885.49,RJ,0.6601,HIGH
100461,57,7229.49,SP,0.4528,MEDIUM
100462,28,4596.8,PE,0.3823,MEDIUM
100463,58,4624.23,RJ,0.3992,MEDIUM
100464,41,4451.67,MG,0.3626,MEDIUM
100465,21,1594.13,RS,0.8927,HIGH
100466,69,4041.0,PR,0.7067,HIGH
100467,29,3047.51,RJ,0.0322,LOW
100468,50,2376.41,SP,0.354,MEDIUM
100469,30,8359.62,BA,0.3817,MEDIUM
100470,67,5350.04,MG,0.5875,MEDIUM
100471,57,4140.29,SC,0.3226,LOW
100472,61,3202.65,BA,0.4959,MEDIUM
100473,42,4841.6,SP,0.3939,MEDIUM
100474,44,6759.67,BA,0.564,MEDIUM
100475,52,2823.96,RS,0.1752,LOW
100476,60,4190.28,PE,0.7068,HIGH
100477,63,6371.0,SP,0.2714,LOW
100478,21,1658.32,RJ,0.1142,LOW
100479,54,4085.53,SC,0.3471,LOW
100480,26,3417.89,PE,0.5421,MEDIUM
100481,35,3938.68,PE,0.3202,LOW
100482,62,3301.26,RJ,0.3932,MEDIUM
100483,33,4486.82,PR,0.1119,LOW
100484,60,10574.29,SP,0.4754,MEDIUM
100485,44,3595.21,SC,0.0908,LOW
100486,32,4831.25,BA,0.0403,LOW
100487,37,10941.5,BA,0.1009,LOW
100488,47,3225.46,RJ,0.0982,LOW
100489,59,10035.5,PE,0.4293,MEDIUM
100490,51,4210.74,SP,0.432,MEDIUM
100491,67,9878.84,MG,0.0933,LOW
100492,64,6020.56,PR,0.5817,MEDIUM
100493,58,4867.09,PR,0.1648,LOW
100494,51,4069.75,RS,0.1309,LOW
100495,35,3112.87,PR,0.8198,HIGH
100496,41,4355.61,SP,0.1797,LOW
100497,26,6461.22,SP,0.3976,MEDIUM
100498,39,4173.65,PR,0.3702,MEDIUM
100499,67,3607.83,SC,0.5602,MEDIUM
100500,42,3723.67,MG,0.3513,MEDIUM
100501,26,6763.05,RJ,0.2711,LOW
100502,53,7562.2,SP,0.8192,HIGH
100503,69,3049.12,RS,0.1523,LOW
100504,64,3047.01,MG,0.3348,LOW
100505,34,5038.84,PR,0.6195,MEDIUM
100506,43,8743.41,MG,0.4341,MEDIUM
100507,47,7280.21,SP,0.12,LOW
100508,33,2302.96,SP,0.3906,MEDIUM
100509,34,3699.98,SP,0.5738,MEDIUM
100510,32,2686.92,SC,0.315,LOW
100511,70,3693.88,SP,0.1414,LOW
100512,58,9072.08,SP,0.6201,MEDIUM
100513,63,2121.74,PE,0.1593,LOW
100514,61,1930.98,RJ,0.6094,MEDIUM
100515,68,2821.81,MG,0.6364,MEDIUM
100516,26,4821.06,RJ,0.2256,LOW
100517,65,5657.87,SP,0.0674,LOW
100518,24,5181.32,SP,0.6661,HIGH
100519,44,7384.72,BA,0.054,LOW
100520,50,1801.83,MG,0.2819,LOW
100521,38,7429.7,RS,0.0366,LOW
100522,28,3615.68,PE,0.1613,LOW
100523,30,5966.75,SP,0.1117,LOW
100524,62,2225.19,SC,0.7636,HIGH
100525,36,4210.0,SP,0.2692,LOW
100526,36,4704.38,MG,0.3645,MEDIUM
100527,67,7314.4,BA,0.3282,LOW
100528,28,1962.39,SP,0.7781,HIGH
100529,66,4262.46,PE,0.0432,LOW
100530,67,2494.71,PR,0.4031,MEDIUM
100531,50,5353.35,RJ,0.5157,MEDIUM
100532,29,6099.14,SP,0.6634,HIGH
100533,28,7790.67,PR,0.4271,MEDIUM
100534,35,3248.75,MG,0.1147,LOW
100535,49,6554.51,SP,0.5494,MEDIUM
100536,28,8071.32,MG,0.2136,LOW
100537,43,1908.52,SP,0.0361,LOW
100538,26,5635.07,PE,0.3236,LOW
100539,48,6653.68,RJ,0.6517,HIGH
100540,22,3709.5,MG,0.1788,LOW
100541,56,2348.82,RS,0.6805,HIGH
100542,23,6604.18,RS,0.7106,HIGH
100543,30,2361.55,PE,0.6661,HIGH
100544,29,3855.4,PE,0.5801,MEDIUM
100545,62,4119.88,SP,0.7083,HIGH
100546,23,5921.22,RJ,0.6518,HIGH
100547,42,3109.0,SC,0.3793,MEDIUM
100548,50,3023.71,SP,0.7745,HIGH
100549,46,4404.22,RS,0.6267,MEDIUM
100550,55,6808.36,SP,0.8428,HIGH
100551,61,12591.99,PE,0.3505,MEDIUM
100552,40,2037.03,RS,0.5193,MEDIUM
100553,62,4886.37,PR,0.3974,MEDIUM
100554,36,2493.15,MG,0.2665,LOW
100555,70,6849.08,PE,0.4823,MEDIUM
100556,46,2676.7,RS,0.3627,MEDIUM
100557,57,3038.16,BA,0.0807,LOW
100558,64,3165.26,BA,0.4918,MEDIUM
100559,60,4049.16,SP,0.2287,LOW
100560,63,4904.82,SP,0.4032,MEDIUM
100561,47,5297.64,SP,0.438,MEDIUM
100562,23,4188.39,SC,0.5043,MEDIUM
100563,45,2218.29,PR,0.2411,LOW
100564,30,5956.14,RJ,0.3115,LOW
100565,65,4094.58,PE,0.6926,HIGH
100566,32,7335.44,SP,0.3488,LOW
100567,32,2990.29,RS,0.5594,MEDIUM
100568,33,1946.42,MG,0.17,LOW
100569,53,4131.96,RJ,0.3734,MEDIUM
100570,49,7823.58,SP,0.0316,LOW
100571,68,4537.32,RS,0.7524,HIGH
100572,41,3816.15,RS,0.4066,MEDIUM
100573,35,2765.77,RJ,0.7855,HIGH
100574,23,9765.08,MG,0.5733,MEDIUM
100575,21,2562.22,PR,0.1492,LOW
100576,39,2965.05,RJ,0.7867,HIGH
100577,67,5521.78,PR,0.098,LOW
100578,47,1723.22,MG,0.5324,MEDIUM
100579,65,7743.77,BA,0.4375,MEDIUM
100580,26,5667.21,RS,0.387,MEDIUM
100581,25,6467.02,SP,0.1954,LOW
100582,62,5490.29,BA,0.8497,HIGH
100583,26,3887.42,RJ,0.7312,HIGH
100584,23,2521.3,PE,0.5583,MEDIUM
100585,41,3926.89,PR,0.7278,HIGH
100586,67,2629.97,SP,0.0204,LOW
100587,55,5303.88,RS,0.5219,MEDIUM
100588,25,6186.31,SP,0.5894,MEDIUM
100589,62,8533.1,BA,0.3178,LOW
100590,63,5020.52,PE,0.2385,LOW
100591,61,6546.17,SC,0.1267,LOW
100592,66,3641.72,PR,0.1249,LOW
100593,32,3338.47,PR,0.4827,MEDIUM
100594,69,5272.2,MG,0.315,LOW
