contract_id,customer_id,product,origination_date,contract_value,term_months,installment_value
C000055,109802,Personal Loan,2025-10-29,9002.52,29,310.43
C000056,101153,Credit Card,2025-10-22,3805.1,21,181.2
C000057,101048,Personal Loan,2025-05-13,5586.78,18,310.38
C000058,103994,Vehicle Finance,2026-06-16,103346.63,46,2246.67
C000059,108609,Payroll Loan,2025-10-01,8690.5,29,299.67
C000060,107960,Personal Loan,2025-09-28,13370.13,14,955.01
C000061,103587,Payroll Loan,2025-11-29,7754.05,43,180.33
C000062,102751,Personal Loan,2026-01-21,10142.16,14,724.44
C000063,103246,Credit Card,2025-09-13,7176.1,7,1025.16
C000064,102601,Vehicle Finance,2025-04-26,45859.02,40,1146.48
C000065,105877,Credit Card,2025-08-13,2760.36,14,197.17
C000066,109280,Credit Card,2025-12-05,6620.66,6,1103.44
C000067,106017,Personal Loan,2025-05-15,2728.2,23,118.62
C000068,106465,Personal Loan,2025-04-08,4160.03,13,320.0
C000069,103390,Credit Card,2025-03-22,4839.08,14,345.65
C000070,102834,Credit Card,2025-07-19,6118.66,16,382.42
C000071,101069,Credit Card,2026-03-03,4024.71,16,251.54
C000072,100317,Payroll Loan,2025-09-02,12411.06,35,354.6
C000073,104412,Personal Loan,2025-06-18,1750.0,33,53.03
C000074,109910,Payroll Loan,2026-01-02,23658.7,20,1182.94
C000075,107692,Vehicle Finance,2026-03-09,20534.8,55,373.36
C000076,109761,Payroll Loan,2025-02-14,9104.78,32,284.52
C000077,102927,Vehicle Finance,2026-05-29,56145.42,44,1276.03
C000078,106690,Credit Card,2025-02-24,3995.35,17,235.02
C000079,106010,Payroll Loan,2026-01-30,20883.94,38,549.58
C000080,101250,Payroll Loan,2025-01-29,6539.17,35,186.83
C000081,100233,Personal Loan,2025-06-14,12366.39,21,588.88
C000082,107238,Credit Card,2025-07-28,5530.98,20,276.55
C000083,102516,Vehicle Finance,2025-04-18,25703.23,60,428.39
C000084,104529,Personal Loan,2025-04-21,5839.58,27,216.28
C000085,108005,Credit Card,2025-07-18,4976.25,22,226.19
C000086,100469,Vehicle Finance,2026-02-25,80340.97,55,1460.74
C000087,101697,Credit Card,2025-09-26,8103.35,6,1350.56
C000088,101315,Credit Card,2026-03-27,8974.49,22,407.93
C000089,106041,Payroll Loan,2026-03-18,5444.02,41,132.78
C000090,100416,Vehicle Finance,2025-05-14,34247.59,36,951.32
C000091,106816,Vehicle Finance,2025-09-02,41689.26,45,926.43
C000092,101150,Vehicle Finance,2025-12-02,36345.18,49,741.74
C000093,105442,Credit Card,2025-05-31,2791.44,12,232.62
C000094,105547,Payroll Loan,2025-09-25,10043.14,32,313.85
C000095,107746,Personal Loan,2025-06-12,9963.83,21,474.47
C000096,107358,Personal Loan,2025-04-20,5154.73,25,206.19
C000097,104405,Credit Card,2025-02-10,4024.56,13,309.58
C000098,109784,Vehicle Finance,2025-12-14,61615.53,30,2053.85
C000099,102481,Personal Loan,2025-09-21,5013.38,28,179.05
C000100,109843,Personal Loan,2026-02-07,3270.74,12,272.56
C000101,109885,Credit Card,2025-02-06,3755.64,21,178.84
C000102,108126,Vehicle Finance,2026-04-03,15244.86,32,476.4
C000103,105385,Credit Card,2026-06-07,10203.1,7,1457.59
C000104,100490,Credit Card,2025-06-14,2631.42,24,109.64
C000105,104511,Vehicle Finance,2026-06-17,22504.45,41,548.89
C000106,104524,Credit Card,2025-03-26,3752.66,20,187.63
C000107,103942,Vehicle Finance,2025-10-17,64639.39,57,1134.02
C000108,100491,Payroll Loan,2026-05-24,10583.91,25,423.36
C000109,109188,Payroll Loan,2025-08-24,5522.26,13,424.79
C000110,106369,Credit Card,2026-05-24,13500.0,15,900.0
C000111,100511,Vehicle Finance,2025-04-21,42835.13,30,1427.84
C000112,101564,Payroll Loan,2025-06-06,13503.08,48,281.31
C000113,108128,Personal Loan,2025-12-18,18369.5,30,612.32
C000114,106570,Credit Card,2025-01-31,7833.6,20,391.68
C000115,101713,Payroll Loan,2025-05-11,18517.42,14,1322.67
C000116,102531,Credit Card,2026-01-22,4729.17,11,429.92
C000117,101234,Vehicle Finance,2025-03-14,18415.24,46,400.33
C000118,106521,Personal Loan,2025-07-19,21000.0,25,840.0
C000119,100674,Credit Card,2025-11-01,10202.11,11,927.46
C000120,107311,Personal Loan,2026-02-19,4440.95,27,164.48
C000121,103825,Personal Loan,2025-10-12,14018.56,27,519.21
C000122,102885,Personal Loan,2025-02-09,9238.87,32,288.71
C000123,103901,Credit Card,2025-11-19,3978.3,8,497.29
C000124,109917,Payroll Loan,2025-09-08,12793.14,29,441.14
C000125,104260,Personal Loan,2025-08-04,10033.47,16,627.09
C000126,102303,Credit Card,2025-07-01,3205.88,14,228.99
C000127,109745,Credit Card,2026-03-23,2716.29,24,113.18
C000128,100975,Credit Card,2025-12-17,4715.51,6,785.92
C000129,102753,Credit Card,2025-01-19,2490.22,23,108.27
C000130,105841,Credit Card,2026-01-23,4799.54,8,599.94
C000131,105655,Payroll Loan,2025-06-08,4149.85,29,143.1
C000132,104111,Personal Loan,2026-06-03,8046.34,26,309.47
C000133,103452,Personal Loan,2025-09-04,3978.78,28,142.1
C000134,108303,Payroll Loan,2025-07-09,7440.03,14,531.43
C000135,100590,Personal Loan,2025-03-08,2936.4,12,244.7
C000136,105160,Payroll Loan,2025-03-12,5919.92,16,370.0
C000137,106831,Vehicle Finance,2026-02-09,102590.42,42,2442.63
C000138,102552,Vehicle Finance,2026-06-09,34809.95,41,849.02
C000139,107875,Vehicle Finance,2025-08-05,36718.3,56,655.68
C000140,105244,Personal Loan,2025-11-08,2237.27,23,97.27
C000141,104257,Payroll Loan,2026-06-06,7523.51,35,214.96
C000142,108635,Credit Card,2026-05-25,4239.68,20,211.98
C000143,101073,Personal Loan,2026-01-11,5503.27,20,275.16
C000144,102369,Credit Card,2026-03-30,10394.65,13,799.59
C000145,108142,Credit Card,2025-10-10,5734.43,9,637.16
C000146,101212,Credit Card,2025-09-25,3905.4,22,177.52
C000147,100255,Vehicle Finance,2025-08-28,28220.75,56,503.94
C000148,108731,Payroll Loan,2025-02-18,3560.12,24,148.34
C000149,100091,Personal Loan,2025-11-28,6096.27,24,254.01
C000150,108618,Payroll Loan,2025-06-13,8593.06,31,277.2
C000151,108023,Credit Card,2026-01-27,3381.14,12,281.76
C000152,108505,Payroll Loan,2026-01-17,19055.05,17,1120.89
C000153,100515,Payroll Loan,2025-06-26,15051.86,38,396.1
C000154,102742,Personal Loan,2026-02-05,4557.42,35,130.21
C000155,101850,Personal Loan,2025-04-05,3719.13,12,309.93
C000156,107961,Credit Card,2025-05-18,3341.47,14,238.68
C000157,102686,Personal Loan,2026-01-09,3432.48,26,132.02
C000158,102570,Credit Card,2025-12-16,4927.09,22,223.96
C000159,105861,Vehicle Finance,2026-04-24,31711.0,41,773.44
C000160,106208,Payroll Loan,2025-02-26,13511.7,45,300.26
C000161,104975,Personal Loan,2026-01-19,6082.69,12,506.89
C000162,101213,Personal Loan,2025-04-27,7745.6,19,407.66
C000163,104177,Vehicle Finance,2025-07-07,26405.04,24,1100.21
C000164,104195,Personal Loan,2025-03-08,4169.13,13,320.7
C000165,105208,Payroll Loan,2025-06-20,5976.95,23,259.87
C000166,109075,Personal Loan,2025-04-22,8207.52,28,293.13
C000167,103592,Credit Card,2025-10-12,6364.75,10,636.48
C000168,100200,Vehicle Finance,2025-04-01,14553.65,55,264.61
C000169,101036,Payroll Loan,2025-11-12,7728.3,45,171.74
C000170,101538,Payroll Loan,2026-01-28,25546.64,21,1216.51
C000171,108688,Payroll Loan,2025-08-07,8544.02,47,181.79
C000172,106392,Vehicle Finance,2026-05-15,21065.39,55,383.01
C000173,102939,Vehicle Finance,2025-03-12,32914.6,35,940.42
C000174,107950,Personal Loan,2026-06-12,21000.0,19,1105.26
C000175,109781,Payroll Loan,2025-11-23,7452.33,32,232.89
C000176,104371,Payroll Loan,2025-08-02,18128.51,17,1066.38
C000177,107857,Personal Loan,2025-01-16,4860.52,28,173.59
C000178,107625,Vehicle Finance,2026-04-15,27113.0,54,502.09
C000179,102670,Credit Card,2026-05-30,2705.33,15,180.36
C000180,109733,Credit Card,2025-02-19,4221.86,10,422.19
C000181,109397,Vehicle Finance,2025-05-25,20661.92,39,529.79
C000182,106955,Credit Card,2025-11-07,3117.05,18,173.17
C000183,109708,Credit Card,2025-07-03,3350.8,13,257.75
C000184,104429,Vehicle Finance,2025-11-27,30392.78,24,1266.37
C000185,107021,Personal Loan,2025-11-18,20561.76,20,1028.09
C000186,106302,Personal Loan,2025-08-12,6088.0,36,169.11
C000187,105987,Personal Loan,2026-02-02,14939.99,33,452.73
C000188,103066,Credit Card,2025-01-13,6029.29,14,430.66
C000189,103526,Vehicle Finance,2025-12-11,29563.95,30,985.46
C000190,100957,Personal Loan,2025-06-30,5348.76,25,213.95
C000191,104972,Personal Loan,2025-05-01,3686.02,22,167.55
C000192,101452,Payroll Loan,2025-01-03,15861.36,37,428.69
C000193,105014,Payroll Loan,2025-01-16,9083.03,25,363.32
C000194,104376,Credit Card,2026-03-18,2763.86,23,120.17
C000195,101340,Personal Loan,2026-04-04,10409.1,20,520.46
C000196,102833,Credit Card,2026-06-30,2888.21,12,240.68
C000197,108874,Personal Loan,2026-04-23,5890.63,32,184.08
C000198,100447,Payroll Loan,2025-04-24,6424.18,21,305.91
C000199,102120,Credit Card,2025-04-24,2905.3,6,484.22
C000200,103780,Personal Loan,2026-02-26,4475.11,21,213.1
C000201,107350,Personal Loan,2025-09-17,7806.04,19,410.84
C000202,108523,Credit Card,2026-05-02,3476.59,16,217.29
C000203,107743,Personal Loan,2025-01-24,13057.83,34,384.05
C000204,100813,Vehicle Finance,2025-06-07,49132.9,32,1535.4
C000205,103711,Personal Loan,2025-04-21,3546.21,12,295.52
C000206,109021,Payroll Loan,2025-12-21,8311.67,33,251.87
C000207,107350,Credit Card,2026-02-06,3876.88,18,215.38
C000208,101594,Personal Loan,2025-05-17,7006.48,12,583.87
C000209,104032,Credit Card,2026-03-30,3411.52,15,227.43
C000210,104590,Vehicle Finance,2025-02-06,24981.14,60,416.35
C000211,102136,Personal Loan,2025-01-05,10412.88,35,297.51
C000212,108912,Vehicle Finance,2025-11-12,48282.58,27,1788.24
C000213,107415,Vehicle Finance,2026-06-03,31696.05,48,660.33
C000214,100773,Personal Loan,2025-06-08,5071.07,25,202.84
C000215,102257,Payroll Loan,2025-11-17,8509.22,42,202.6
C000216,105850,Personal Loan,2026-04-16,11122.96,23,483.61
C000217,107209,Credit Card,2025-02-25,1332.26,12,111.02
C000218,107520,Payroll Loan,2026-06-08,10971.36,30,365.71
C000219,109410,Personal Loan,2025-12-05,7303.16,14,521.65
C000220,105763,Personal Loan,2025-04-07,12871.47,22,585.07
C000221,101885,Credit Card,2025-10-05,4326.55,20,216.33
C000222,100410,Credit Card,2025-03-23,5693.94,13,438.0
C000223,100673,Payroll Loan,2025-01-17,4463.68,46,97.04
C000224,105460,Vehicle Finance,2025-04-20,60421.81,45,1342.71
C000225,106339,Payroll Loan,2026-04-17,11902.68,48,247.97
C000226,101477,Personal Loan,2025-09-12,21000.0,17,1235.29
C000227,103961,Vehicle Finance,2025-07-07,32858.44,47,699.12
C000228,104049,Payroll Loan,2025-06-23,4856.03,14,346.86
C000229,103402,Personal Loan,2026-05-22,13757.91,27,509.55
C000230,102242,Credit Card,2025-12-16,3572.99,17,210.18
C000231,103053,Vehicle Finance,2026-06-18,42095.32,42,1002.27
C000232,107565,Credit Card,2025-09-11,6154.94,10,615.49
C000233,106833,Personal Loan,2026-02-12,3990.35,20,199.52
C000234,108072,Credit Card,2025-01-12,4838.37,12,403.2
C000235,108922,Credit Card,2026-01-07,7122.99,22,323.77
C000236,102066,Credit Card,2026-02-14,6763.13,8,845.39
C000237,103707,Personal Loan,2026-04-25,8419.59,36,233.88
C000238,106413,Vehicle Finance,2025-07-12,42452.09,34,1248.59
C000239,105562,Vehicle Finance,2025-11-02,9500.0,27,351.85
C000240,108073,Credit Card,2025-12-29,7262.66,21,345.84
C000241,109324,Payroll Loan,2026-02-05,5284.62,12,440.38
C000242,104359,Personal Loan,2026-04-04,2846.89,36,79.08
C000243,106400,Payroll Loan,2025-07-06,4077.53,19,214.61
C000244,109172,Payroll Loan,2025-03-01,12798.23,18,711.01
C000245,105357,Vehicle Finance,2026-06-09,30988.52,54,573.86
C000246,102180,Credit Card,2025-11-22,2487.95,24,103.66
C000247,108007,Personal Loan,2025-04-01,3811.6,23,165.72
C000248,101265,Vehicle Finance,2026-05-24,21979.64,30,732.65
C000249,106887,Payroll Loan,2026-06-22,18158.36,19,955.7
C000250,101532,Personal Loan,2025-03-15,4944.6,23,214.98
C000251,102675,Payroll Loan,2026-05-17,13464.16,27,498.67
C000252,109129,Credit Card,2025-11-27,8339.5,15,555.97
C000253,102179,Credit Card,2025-04-08,6122.47,22,278.29
C000254,106203,Vehicle Finance,2025-04-29,24426.78,45,542.82
C000255,104977,Personal Loan,2025-04-18,4022.51,31,129.76
C000256,101168,Vehicle Finance,2025-08-22,29112.77,49,594.14
C000257,106077,Vehicle Finance,2026-03-15,66656.31,39,1709.14
C000258,103890,Vehicle Finance,2026-02-03,67947.41,46,1477.12
C000259,109592,Credit Card,2025-08-29,3836.31,6,639.38
C000260,103064,Personal Loan,2026-04-05,8011.68,21,381.51
C000261,105979,Credit Card,2026-06-12,5636.61,17,331.57
C000262,108770,Credit Card,2026-05-21,4005.41,23,174.15
C000263,104737,Payroll Loan,2025-05-09,6213.27,32,194.16
C000264,103546,Vehicle Finance,2026-03-15,57403.35,54,1063.02
C000265,103887,Personal Loan,2025-04-06,15161.38,36,421.15
C000266,100856,Payroll Loan,2026-04-20,18385.75,28,656.63
C000267,107526,Payroll Loan,2025-06-12,17020.97,32,531.91
C000268,100110,Credit Card,2025-02-19,6436.65,22,292.58
C000269,107866,Vehicle Finance,2025-01-02,26386.87,59,447.24
C000270,105713,Credit Card,2026-01-18,4751.23,21,226.25
C000271,100077,Payroll Loan,2025-05-22,33000.0,15,2200.0
C000272,101511,Personal Loan,2026-01-16,4703.27,18,261.29
C000273,100916,Personal Loan,2025-07-08,8891.32,36,246.98
C000274,109928,Payroll Loan,2025-02-17,14159.19,46,307.81
C000275,100786,Personal Loan,2025-07-24,5417.85,35,154.8
C000276,109068,Credit Card,2025-07-03,2552.35,11,232.03
C000277,100240,Payroll Loan,2025-08-23,3195.54,24,133.15
C000278,105198,Personal Loan,2025-07-12,21000.0,31,677.42
C000279,105688,Payroll Loan,2025-07-30,14568.24,15,971.22
C000280,106995,Payroll Loan,2025-12-20,8905.24,34,261.92
C000281,104547,Credit Card,2025-08-04,4346.66,18,241.48
C000282,101988,Credit Card,2025-10-24,2782.1,24,115.92
C000283,102692,Personal Loan,2025-05-09,8244.73,27,305.36
C000284,100203,Credit Card,2026-05-27,2855.45,18,158.64
C000285,108365,Personal Loan,2026-06-11,3143.45,15,209.56
C000286,100264,Vehicle Finance,2025-03-19,29292.62,52,563.32
C000287,106175,Credit Card,2026-04-10,5740.8,22,260.95
C000288,105669,Payroll Loan,2025-11-20,12353.69,13,950.28
C000289,102997,Personal Loan,2026-03-16,8275.9,34,243.41
C000290,101698,Personal Loan,2025-03-14,6307.92,23,274.26
C000291,105910,Personal Loan,2026-01-14,4522.12,26,173.93
C000292,107148,Payroll Loan,2026-04-15,9398.61,22,427.21
C000293,104744,Vehicle Finance,2025-07-12,97124.1,31,3133.04
C000294,107021,Personal Loan,2025-07-28,18634.99,12,1552.92
C000295,106145,Payroll Loan,2026-06-18,10641.81,38,280.05
C000296,109623,Personal Loan,2025-06-02,4553.16,18,252.95
C000297,102769,Credit Card,2026-03-16,2631.26,23,114.4
C000298,107719,Credit Card,2025-06-04,4142.87,8,517.86
C000299,103805,Payroll Loan,2025-09-22,10410.22,37,281.36
C000300,105637,Vehicle Finance,2025-03-06,71495.31,55,1299.91
C000301,104847,Credit Card,2026-05-05,4441.16,15,296.08
C000302,103458,Personal Loan,2025-04-24,3014.46,20,150.72
C000303,106845,Vehicle Finance,2026-01-18,40806.93,35,1165.91
C000304,109577,Vehicle Finance,2025-07-29,68795.8,32,2149.87
C000305,104366,Personal Loan,2025-03-29,4816.47,30,160.55
C000306,101866,Payroll Loan,2025-01-19,10367.65,48,215.99
C000307,104462,Credit Card,2025-03-15,5291.05,9,587.89
C000308,101998,Credit Card,2025-10-04,5269.85,21,250.95
C000309,105179,Personal Loan,2025-04-12,6148.28,23,267.32
C000310,106306,Credit Card,2025-04-11,4739.03,6,789.84
C000311,104705,Vehicle Finance,2026-06-05,34488.05,26,1326.46
C000312,109869,Credit Card,2025-10-28,7348.4,15,489.89
C000313,102450,Credit Card,2025-02-06,3262.32,17,191.9
C000314,100830,Payroll Loan,2025-03-16,9662.17,48,201.3
C000315,106987,Vehicle Finance,2025-10-14,42647.43,49,870.36
C000316,109899,Payroll Loan,2025-05-21,11351.82,27,420.44
C000317,100506,Vehicle Finance,2025-04-30,36719.44,44,834.53
C000318,103925,Credit Card,2026-03-09,3066.55,22,139.39
C000319,105609,Vehicle Finance,2025-09-12,29747.38,35,849.93
C000320,106391,Payroll Loan,2026-06-27,7806.0,45,173.47
C000321,108730,Vehicle Finance,2026-01-03,37931.8,27,1404.88
C000322,106844,Personal Loan,2025-07-10,3742.39,24,155.93
C000323,109046,Payroll Loan,2026-03-18,8156.81,47,173.55
C000324,105571,Personal Loan,2025-09-16,5845.56,19,307.66
C000325,102141,Payroll Loan,2026-02-10,9339.31,43,217.19
C000326,109181,Payroll Loan,2025-08-29,11817.0,30,393.9
C000327,103810,Credit Card,2025-01-01,1790.87,22,81.4
C000328,103232,Personal Loan,2025-07-15,8786.47,20,439.32
C000329,106806,Personal Loan,2025-04-25,13947.82,34,410.23
C000330,107354,Personal Loan,2025-05-22,3544.21,36,98.45
C000331,106995,Payroll Loan,2025-08-02,11439.31,14,817.09
C000332,105434,Personal Loan,2025-12-17,4253.53,25,170.14
C000333,106976,Personal Loan,2026-03-25,2384.88,22,108.4
C000334,107669,Personal Loan,2025-05-09,4026.53,24,167.77
C000335,102113,Vehicle Finance,2025-11-20,77835.89,39,1995.79
C000336,108651,Credit Card,2025-09-03,2487.64,13,191.36
C000337,105495,Credit Card,2025-02-02,2817.91,7,402.56
C000338,103912,Payroll Loan,2025-08-04,8519.01,30,283.97
C000339,103593,Personal Loan,2026-01-28,6801.38,29,234.53
C000340,100106,Vehicle Finance,2026-02-12,20851.68,32,651.62
C000341,104730,Credit Card,2026-02-25,5894.79,17,346.75
C000342,107876,Personal Loan,2026-03-23,12398.32,14,885.59
C000343,109372,Personal Loan,2025-10-13,3697.25,13,284.4
C000344,101334,Credit Card,2025-01-13,2195.83,15,146.39
C000345,107096,Personal Loan,2025-07-21,9918.51,17,583.44
C000346,102809,Payroll Loan,2025-11-06,31767.51,32,992.73
C000347,101045,Credit Card,2025-05-23,3409.79,9,378.87
C000348,105750,Personal Loan,2025-03-04,13671.12,18,759.51
C000349,100367,Vehicle Finance,2025-07-21,39684.32,54,734.89
C000350,101880,Personal Loan,2025-02-19,5703.58,27,211.24
C000351,102541,Personal Loan,2026-03-16,12867.18,17,756.89
C000352,108553,Credit Card,2025-07-05,5108.7,24,212.86
C000353,101600,Credit Card,2025-11-22,5469.83,10,546.98
C000354,102827,Personal Loan,2025-02-08,7715.81,16,482.24
C000355,109703,Vehicle Finance,2025-09-15,21577.27,55,392.31
C000356,103298,Vehicle Finance,2026-05-23,15503.79,47,329.87
C000357,102824,Personal Loan,2025-05-18,5687.71,30,189.59
C000358,107232,Personal Loan,2026-01-14,11292.0,34,332.12
C000359,100454,Personal Loan,2025-07-13,4610.31,32,144.07
C000360,101159,Payroll Loan,2025-12-19,4598.56,20,229.93
C000361,103805,Personal Loan,2026-06-21,8474.45,28,302.66
C000362,106600,Personal Loan,2025-04-03,9035.13,17,531.48
C000363,100161,Vehicle Finance,2025-03-10,43857.93,24,1827.41
C000364,100274,Personal Loan,2026-04-10,16740.3,24,697.51
C000365,100426,Personal Loan,2025-10-05,3729.65,26,143.45
C000366,106893,Payroll Loan,2025-05-23,11080.2,26,426.16
C000367,107220,Payroll Loan,2025-11-12,9678.12,13,744.47
C000368,103971,Personal Loan,2025-05-24,9255.3,26,355.97
C000369,101214,Personal Loan,2025-09-02,7608.89,19,400.47
C000370,107639,Payroll Loan,2026-05-01,16030.37,33,485.77
C000371,107134,Vehicle Finance,2025-07-14,62332.13,48,1298.59
C000372,100515,Vehicle Finance,2025-12-08,21864.58,60,364.41
C000373,107317,Personal Loan,2026-05-19,5556.1,20,277.8
C000374,109097,Credit Card,2025-12-31,7194.46,13,553.42
C000375,106670,Personal Loan,2025-08-06,7403.73,26,284.76
C000376,103476,Credit Card,2026-06-16,4300.27,13,330.79
C000377,102212,Payroll Loan,2025-09-01,18966.4,38,499.12
C000378,103892,Vehicle Finance,2025-08-07,38162.64,60,636.04
C000379,103377,Payroll Loan,2025-12-10,23706.63,48,493.89
C000380,101719,Credit Card,2025-05-30,3764.02,11,342.18
C000381,109495,Vehicle Finance,2025-09-24,43066.97,44,978.79
C000382,101290,Payroll Loan,2025-05-26,7647.01,20,382.35
C000383,102836,Payroll Loan,2025-02-03,9221.01,33,279.42
C000384,100545,Personal Loan,2025-04-19,10045.96,30,334.87
C000385,105850,Payroll Loan,2026-01-11,5865.22,14,418.94
C000386,101075,Payroll Loan,2026-04-02,14407.71,47,306.55
C000387,107503,Personal Loan,2025-04-20,4828.54,16,301.78
C000388,105545,Vehicle Finance,2025-06-07,37408.94,52,719.4
C000389,105039,Personal Loan,2025-03-26,11327.04,35,323.63
C000390,107287,Personal Loan,2025-03-05,2897.86,19,152.52
C000391,109149,Personal Loan,2025-04-16,11975.15,20,598.76
C000392,101021,Personal Loan,2026-02-28,9843.44,27,364.57
C000393,106755,Payroll Loan,2026-02-20,23230.62,46,505.01
C000394,101291,Personal Loan,2026-06-10,3877.39,18,215.41
C000395,101000,Credit Card,2025-01-13,4088.94,10,408.89
C000396,100908,Payroll Loan,2026-02-23,8326.18,29,287.11
C000397,102610,Credit Card,2025-11-16,1954.98,19,102.89
C000398,104891,Payroll Loan,2025-07-01,9601.39,37,259.5
C000399,102024,Vehicle Finance,2025-04-02,47843.78,44,1087.36
C000400,102216,Personal Loan,2025-04-05,4422.18,20,221.11
C000401,109536,Credit Card,2025-10-05,8095.99,13,622.77
C000402,101461,Credit Card,2026-03-06,7171.53,9,796.84
C000403,100880,Credit Card,2025-03-14,6934.41,18,385.24
C000404,104207,Personal Loan,2025-12-29,18602.07,34,547.12
C000405,106822,Vehicle Finance,2025-03-28,72404.34,30,2413.48
C000406,105924,Vehicle Finance,2025-04-18,76069.66,24,3169.57
C000407,106478,Payroll Loan,2025-01-15,33000.0,37,891.89
C000408,101779,Payroll Loan,2026-06-02,3998.38,38,105.22
C000409,104033,Personal Loan,2025-06-16,2869.76,24,119.57
C000410,107773,Credit Card,2025-11-20,2999.28,11,272.66
C000411,103438,Personal Loan,2025-03-24,4705.7,16,294.11
C000412,105961,Credit Card,2025-11-20,3817.06,7,545.29
C000413,101333,Personal Loan,2026-01-17,11273.08,21,536.81
C000414,107601,Vehicle Finance,2025-08-05,22823.7,42,543.42
C000415,109775,Vehicle Finance,2025-11-12,43988.7,32,1374.65
C000416,103297,Payroll Loan,2025-04-23,16157.09,31,521.2
C000417,100861,Vehicle Finance,2025-08-29,34272.4,50,685.45
C000418,103929,Payroll Loan,2025-11-15,10617.11,42,252.79
C000419,108583,Personal Loan,2025-02-18,16679.77,28,595.71
C000420,109807,Personal Loan,2025-08-18,3023.3,17,177.84
C000421,105389,Personal Loan,2025-07-28,9559.52,18,531.08
C000422,106049,Personal Loan,2025-03-31,2300.82,35,65.74
C000423,106577,Credit Card,2025-02-20,3887.74,6,647.96
C000424,101517,Vehicle Finance,2025-01-11,56036.31,41,1366.74
C000425,101999,Vehicle Finance,2025-07-17,53046.38,33,1607.47
C000426,107143,Payroll Loan,2026-04-28,9058.35,25,362.33
C000427,104436,Payroll Loan,2026-01-29,6838.67,33,207.23
C000428,107438,Vehicle Finance,2026-05-24,53993.08,31,1741.71
C000429,103960,Credit Card,2025-10-07,3450.67,22,156.85
