installment_id,contract_id,installment_number,due_date,installment_value,payment_date,paid_value,days_past_due,status
I00000041,C000005,14,2026-04-10,409.86,2026-04-10,409.86,0,PAID
I00000042,C000005,15,2026-05-10,409.86,2026-05-10,409.86,0,PAID
I00000043,C000005,16,2026-06-10,409.86,2026-06-13,409.86,3,LATE
I00000044,C000005,17,2026-07-10,409.86,2026-07-11,409.86,1,LATE
I00000045,C000005,18,2026-08-10,409.86,2026-08-12,409.86,2,LATE
I00000046,C000006,1,2025-05-10,389.25,2025-05-13,389.25,3,LATE
I00000047,C000006,2,2025-06-10,389.25,2025-06-11,389.25,1,LATE
I00000048,C000006,3,2025-07-10,389.25,2025-07-10,389.25,0,PAID
I00000049,C000006,4,2025-08-10,389.25,2025-08-12,389.25,2,LATE
I00000050,C000006,5,2025-09-10,389.25,2025-09-11,389.25,1,LATE
I00000051,C000006,6,2025-10-10,389.25,2025-10-13,389.25,3,LATE
I00000052,C000006,7,2025-11-10,389.25,2025-11-10,389.25,0,PAID
I00000053,C000006,8,2025-12-10,389.25,2025-12-10,389.25,0,PAID
I00000054,C000006,9,2026-01-10,389.25,2026-01-11,389.25,1,LATE
I00000055,C000006,10,2026-02-10,389.25,2026-02-12,389.25,2,LATE
I00000056,C000006,11,2026-03-10,389.25,2026-03-11,389.25,1,LATE
I00000057,C000006,12,2026-04-10,389.25,2026-04-11,389.25,1,LATE
I00000058,C000006,13,2026-05-10,389.25,2026-06-09,389.25,30,LATE
I00000059,C000006,14,2026-06-10,389.25,2026-06-11,389.25,1,LATE
I00000060,C000006,15,2026-07-10,389.25,,0.0,65,DEFAULT
I00000061,C000007,1,2026-06-10,445.07,2026-06-12,445.07,2,LATE
I00000062,C000007,2,2026-07-10,445.07,2026-07-11,445.07,1,LATE
I00000063,C000007,3,2026-08-10,445.07,2026-08-18,445.07,8,LATE
I00000064,C000008,1,2025-05-10,291.49,2025-05-11,291.49,1,LATE
I00000065,C000008,2,2025-06-10,291.49,2025-06-11,291.49,1,LATE
I00000066,C000008,3,2025-07-10,291.49,2025-07-13,291.49,3,LATE
I00000067,C000008,4,2025-08-10,291.49,2025-08-12,291.49,2,LATE
I00000068,C000008,5,2025-09-10,291.49,2025-09-11,291.49,1,LATE
I00000069,C000008,6,2025-10-10,291.49,2025-10-10,291.49,0,PAID
I00000070,C000008,7,2025-11-10,291.49,2025-11-12,291.49,2,LATE
I00000071,C000008,8,2025-12-10,291.49,2025-12-13,291.49,3,LATE
I00000072,C000008,9,2026-01-10,291.49,2026-01-10,291.49,0,PAID
I00000073,C000008,10,2026-02-10,291.49,2026-02-12,291.49,2,LATE
I00000074,C000008,11,2026-03-10,291.49,2026-03-10,291.49,0,PAID
I00000075,C000008,12,2026-04-10,291.49,2026-04-13,291.49,3,LATE
I00000076,C000008,13,2026-05-10,291.49,2026-05-19,291.49,9,LATE
I00000077,C000008,14,2026-06-10,291.49,2026-06-11,291.49,1,LATE
I00000078,C000008,15,2026-07-10,291.49,2026-07-11,291.49,1,LATE
I00000079,C000008,16,2026-08-10,291.49,2026-08-10,291.49,0,PAID
I00000080,C000009,1,2025-10-10,219.07,2025-10-13,219.07,3,LATE
I00000081,C000009,2,2025-11-10,219.07,2025-11-12,219.07,2,LATE
I00000082,C000009,3,2025-12-10,219.07,2025-12-27,219.07,17,LATE
I00000083,C000009,4,2026-01-10,219.07,2026-01-12,219.07,2,LATE
I00000084,C000009,5,2026-02-10,219.07,2026-02-11,219.07,1,LATE
I00000085,C000009,6,2026-03-10,219.07,2026-03-12,219.07,2,LATE
I00000086,C000009,7,2026-04-10,219.07,2026-04-12,219.07,2,LATE
I00000087,C000009,8,2026-05-10,219.07,2026-05-11,219.07,1,LATE
I00000088,C000009,9,2026-06-10,219.07,2026-07-06,219.07,26,LATE
I00000089,C000009,10,2026-07-10,219.07,2026-07-11,219.07,1,LATE
I00000090,C000009,11,2026-08-10,219.07,2026-08-12,219.07,2,LATE
I00000091,C000010,1,2025-08-10,89.53,2025-08-12,89.53,2,LATE
I00000092,C000010,2,2025-09-10,89.53,2025-09-12,89.53,2,LATE
I00000093,C000010,3,2025-10-10,89.53,2025-10-12,89.53,2,LATE
I00000094,C000010,4,2025-11-10,89.53,2025-11-13,89.53,3,LATE
I00000095,C000010,5,2025-12-10,89.53,2025-12-10,89.53,0,PAID
I00000096,C000010,6,2026-01-10,89.53,2026-01-12,89.53,2,LATE
I00000097,C000010,7,2026-02-10,89.53,2026-02-11,89.53,1,LATE
I00000098,C000010,8,2026-03-10,89.53,2026-03-13,89.53,3,LATE
I00000099,C000010,9,2026-04-10,89.53,2026-05-01,89.53,21,LATE
I00000100,C000010,10,2026-05-10,89.53,2026-05-11,89.53,1,LATE
I00000101,C000010,11,2026-06-10,89.53,2026-06-13,89.53,3,LATE
I00000102,C000010,12,2026-07-10,89.53,2026-07-13,89.53,3,LATE
I00000103,C000010,13,2026-08-10,89.53,2026-08-11,89.53,1,LATE
I00000104,C000011,1,2026-04-10,132.68,2026-04-11,132.68,1,LATE
I00000105,C000011,2,2026-05-10,132.68,2026-05-20,132.68,10,LATE
I00000106,C000011,3,2026-06-10,132.68,2026-06-13,132.68,3,LATE
I00000107,C000011,4,2026-07-10,132.68,2026-07-10,132.68,0,PAID
I00000108,C000011,5,2026-08-10,132.68,2026-08-13,132.68,3,LATE
I00000109,C000012,1,2025-06-10,94.5,2025-06-12,94.5,2,LATE
I00000110,C000012,2,2025-07-10,94.5,2025-08-08,94.5,29,LATE
I00000111,C000012,3,2025-08-10,94.5,2025-08-10,94.5,0,PAID
I00000112,C000012,4,2025-09-10,94.5,2025-09-13,94.5,3,LATE
I00000113,C000012,5,2025-10-10,94.5,2025-10-10,94.5,0,PAID
I00000114,C000012,6,2025-11-10,94.5,2025-11-12,94.5,2,LATE
I00000115,C000012,7,2025-12-10,94.5,2025-12-13,94.5,3,LATE
I00000116,C000012,8,2026-01-10,94.5,2026-01-13,94.5,3,LATE
I00000117,C000012,9,2026-02-10,94.5,,0.0,104,DEFAULT
I00000118,C000012,10,2026-03-10,94.5,,0.0,82,DEFAULT
I00000119,C000012,11,2026-04-10,94.5,,0.0,131,DEFAULT
I00000120,C000012,12,2026-05-10,94.5,,0.0,101,DEFAULT
I00000121,C000012,13,2026-06-10,94.5,,0.0,70,DEFAULT
I00000122,C000012,14,2026-07-10,94.5,,0.0,40,DEFAULT
I00000123,C000012,15,2026-08-10,94.5,,0.0,9,DEFAULT
I00000124,C000013,1,2025-04-10,1565.99,2025-04-10,1565.99,0,PAID
I00000125,C000013,2,2025-05-10,1565.99,2025-05-10,1565.99,0,PAID
I00000126,C000013,3,2025-06-10,1565.99,2025-06-12,1565.99,2,LATE
I00000127,C000013,4,2025-07-10,1565.99,2025-07-11,1565.99,1,LATE
I00000128,C000013,5,2025-08-10,1565.99,2025-08-18,1565.99,8,LATE
I00000129,C000013,6,2025-09-10,1565.99,2025-09-13,1565.99,3,LATE
I00000130,C000013,7,2025-10-10,1565.99,2025-10-11,1565.99,1,LATE
I00000131,C000013,8,2025-11-10,1565.99,2025-11-11,1565.99,1,LATE
I00000132,C000013,9,2025-12-10,1565.99,2025-12-13,1565.99,3,LATE
I00000133,C000013,10,2026-01-10,1565.99,2026-01-27,1565.99,17,LATE
I00000134,C000013,11,2026-02-10,1565.99,2026-02-10,1565.99,0,PAID
I00000135,C000013,12,2026-03-10,1565.99,2026-03-13,1565.99,3,LATE
I00000136,C000013,13,2026-04-10,1565.99,2026-04-10,1565.99,0,PAID
I00000137,C000013,14,2026-05-10,1565.99,2026-05-10,1565.99,0,PAID
I00000138,C000013,15,2026-06-10,1565.99,2026-06-13,1565.99,3,LATE
I00000139,C000013,16,2026-07-10,1565.99,2026-08-03,1565.99,24,LATE
I00000140,C000013,17,2026-08-10,1565.99,2026-08-13,1565.99,3,LATE
I00000141,C000014,1,2025-02-10,844.43,2025-02-10,844.43,0,PAID
I00000142,C000014,2,2025-03-10,844.43,2025-03-11,844.43,1,LATE
I00000143,C000014,3,2025-04-10,844.43,2025-04-10,844.43,0,PAID
I00000144,C000014,4,2025-05-10,844.43,2025-05-13,844.43,3,LATE
I00000145,C000014,5,2025-06-10,844.43,2025-06-13,844.43,3,LATE
I00000146,C000014,6,2025-07-10,844.43,2025-07-10,844.43,0,PAID
I00000147,C000014,7,2025-08-10,844.43,2025-08-11,844.43,1,LATE
I00000148,C000014,8,2025-09-10,844.43,2025-09-13,844.43,3,LATE
I00000149,C000014,9,2025-10-10,844.43,2025-10-13,844.43,3,LATE
I00000150,C000014,10,2025-11-10,844.43,2025-11-11,844.43,1,LATE
I00000151,C000014,11,2025-12-10,844.43,2025-12-10,844.43,0,PAID
I00000152,C000014,12,2026-01-10,844.43,,0.0,108,DEFAULT
I00000153,C000014,13,2026-02-10,844.43,,0.0,190,DEFAULT
I00000154,C000014,14,2026-03-10,844.43,,0.0,162,DEFAULT
I00000155,C000014,15,2026-04-10,844.43,,0.0,131,DEFAULT
I00000156,C000014,16,2026-05-10,844.43,,0.0,101,DEFAULT
I00000157,C000014,17,2026-06-10,844.43,,0.0,70,DEFAULT
I00000158,C000014,18,2026-07-10,844.43,,0.0,40,DEFAULT
I00000159,C000014,19,2026-08-10,844.43,,0.0,9,DEFAULT
I00000160,C000015,1,2025-07-10,786.06,2025-07-13,786.06,3,LATE
I00000161,C000015,2,2025-08-10,786.06,2025-08-12,786.06,2,LATE
I00000162,C000015,3,2025-09-10,786.06,2025-09-10,786.06,0,PAID
I00000163,C000015,4,2025-10-10,786.06,2025-10-11,786.06,1,LATE
I00000164,C000015,5,2025-11-10,786.06,2025-11-12,786.06,2,LATE
I00000165,C000015,6,2025-12-10,786.06,2025-12-13,786.06,3,LATE
I00000166,C000015,7,2026-01-10,786.06,2026-01-11,786.06,1,LATE
I00000167,C000015,8,2026-02-10,786.06,2026-03-07,786.06,25,LATE
I00000168,C000015,9,2026-03-10,786.06,2026-03-13,786.06,3,LATE
I00000169,C000015,10,2026-04-10,786.06,2026-04-13,786.06,3,LATE
I00000170,C000015,11,2026-05-10,786.06,2026-05-10,786.06,0,PAID
I00000171,C000015,12,2026-06-10,786.06,2026-06-13,786.06,3,LATE
I00000172,C000015,13,2026-07-10,786.06,2026-07-11,786.06,1,LATE
I00000173,C000015,14,2026-08-10,786.06,2026-08-13,786.06,3,LATE
I00000174,C000016,1,2026-06-10,459.71,2026-06-12,459.71,2,LATE
I00000175,C000016,2,2026-07-10,459.71,2026-08-01,459.71,22,LATE
I00000176,C000016,3,2026-08-10,459.71,2026-08-10,459.71,0,PAID
I00000177,C000017,1,2026-05-10,435.53,2026-05-12,435.53,2,LATE
I00000178,C000017,2,2026-06-10,435.53,2026-06-13,435.53,3,LATE
I00000179,C000017,3,2026-07-10,435.53,2026-07-12,435.53,2,LATE
I00000180,C000017,4,2026-08-10,435.53,2026-08-10,435.53,0,PAID
I00000181,C000018,1,2025-02-10,134.62,2025-02-13,134.62,3,LATE
I00000182,C000018,2,2025-03-10,134.62,2025-03-11,134.62,1,LATE
I00000183,C000018,3,2025-04-10,134.62,2025-04-10,134.62,0,PAID
I00000184,C000018,4,2025-05-10,134.62,2025-05-10,134.62,0,PAID
I00000185,C000018,5,2025-06-10,134.62,2025-06-12,134.62,2,LATE
I00000186,C000018,6,2025-07-10,134.62,2025-07-10,134.62,0,PAID
I00000187,C000018,7,2025-08-10,134.62,2025-08-12,134.62,2,LATE
I00000188,C000018,8,2025-09-10,134.62,2025-09-11,134.62,1,LATE
I00000189,C000018,9,2025-10-10,134.62,2025-10-10,134.62,0,PAID
I00000190,C000018,10,2025-11-10,134.62,2025-11-22,134.62,12,LATE
I00000191,C000018,11,2025-12-10,134.62,2026-01-06,134.62,27,LATE
I00000192,C000018,12,2026-01-10,134.62,2026-01-11,134.62,1,LATE
I00000193,C000018,13,2026-02-10,134.62,2026-02-13,134.62,3,LATE
I00000194,C000018,14,2026-03-10,134.62,2026-03-13,134.62,3,LATE
I00000195,C000018,15,2026-04-10,134.62,2026-04-12,134.62,2,LATE
I00000196,C000018,16,2026-05-10,134.62,2026-05-12,134.62,2,LATE
I00000197,C000018,17,2026-06-10,134.62,2026-06-10,134.62,0,PAID
I00000198,C000018,18,2026-07-10,134.62,2026-07-12,134.62,2,LATE
I00000199,C000018,19,2026-08-10,134.62,2026-08-12,134.62,2,LATE
I00000200,C000019,1,2026-07-10,910.63,2026-07-13,910.63,3,LATE
I00000201,C000019,2,2026-08-10,910.63,2026-08-12,910.63,2,LATE
I00000202,C000020,1,2025-08-10,258.17,2025-08-12,258.17,2,LATE
I00000203,C000020,2,2025-09-10,258.17,2025-09-19,258.17,9,LATE
I00000204,C000020,3,2025-10-10,258.17,2025-10-13,258.17,3,LATE
I00000205,C000020,4,2025-11-10,258.17,2025-11-13,258.17,3,LATE
I00000206,C000020,5,2025-12-10,258.17,2026-01-04,258.17,25,LATE
I00000207,C000020,6,2026-01-10,258.17,2026-01-12,258.17,2,LATE
I00000208,C000020,7,2026-02-10,258.17,2026-02-12,258.17,2,LATE
I00000209,C000020,8,2026-03-10,258.17,2026-03-10,258.17,0,PAID
I00000210,C000020,9,2026-04-10,258.17,2026-04-10,258.17,0,PAID
I00000211,C000020,10,2026-05-10,258.17,2026-05-11,258.17,1,LATE
I00000212,C000020,11,2026-06-10,258.17,2026-06-11,258.17,1,LATE
I00000213,C000020,12,2026-07-10,258.17,2026-07-13,258.17,3,LATE
I00000214,C000020,13,2026-08-10,258.17,2026-08-13,258.17,3,LATE
I00000215,C000021,1,2025-04-10,647.09,2025-04-13,647.09,3,LATE
I00000216,C000021,2,2025-05-10,647.09,2025-05-10,647.09,0,PAID
I00000217,C000021,3,2025-06-10,647.09,2025-06-12,647.09,2,LATE
I00000218,C000021,4,2025-07-10,647.09,2025-07-11,647.09,1,LATE
I00000219,C000021,5,2025-08-10,647.09,2025-08-12,647.09,2,LATE
I00000220,C000021,6,2025-09-10,647.09,2025-09-23,647.09,13,LATE
I00000221,C000021,7,2025-10-10,647.09,2025-10-12,647.09,2,LATE
I00000222,C000021,8,2025-11-10,647.09,2025-11-11,647.09,1,LATE
I00000223,C000021,9,2025-12-10,647.09,2025-12-11,647.09,1,LATE
I00000224,C000021,10,2026-01-10,647.09,2026-01-10,647.09,0,PAID
I00000225,C000021,11,2026-02-10,647.09,2026-03-01,647.09,19,LATE
I00000226,C000021,12,2026-03-10,647.09,2026-03-11,647.09,1,LATE
I00000227,C000021,13,2026-04-10,647.09,2026-04-10,647.09,0,PAID
I00000228,C000021,14,2026-05-10,647.09,2026-05-29,647.09,19,LATE
I00000229,C000021,15,2026-06-10,647.09,2026-06-12,647.09,2,LATE
I00000230,C000021,16,2026-07-10,647.09,2026-07-11,647.09,1,LATE
I00000231,C000021,17,2026-08-10,647.09,,0.0,45,DEFAULT
I00000232,C000022,1,2025-03-10,281.45,2025-03-13,281.45,3,LATE
I00000233,C000022,2,2025-04-10,281.45,2025-04-12,281.45,2,LATE
I00000234,C000022,3,2025-05-10,281.45,2025-05-10,281.45,0,PAID
I00000235,C000022,4,2025-06-10,281.45,2025-06-12,281.45,2,LATE
I00000236,C000022,5,2025-07-10,281.45,2025-07-12,281.45,2,LATE
I00000237,C000022,6,2025-08-10,281.45,2025-08-13,281.45,3,LATE
I00000238,C000022,7,2025-09-10,281.45,2025-09-11,281.45,1,LATE
I00000239,C000022,8,2025-10-10,281.45,2025-10-11,281.45,1,LATE
I00000240,C000022,9,2025-11-10,281.45,2025-12-04,281.45,24,LATE
I00000241,C000022,10,2025-12-10,281.45,2025-12-13,281.45,3,LATE
I00000242,C000022,11,2026-01-10,281.45,,0.0,48,DEFAULT
I00000243,C000022,12,2026-02-10,281.45,,0.0,111,DEFAULT
I00000244,C000022,13,2026-03-10,281.45,,0.0,162,DEFAULT
I00000245,C000022,14,2026-04-10,281.45,,0.0,131,DEFAULT
I00000246,C000022,15,2026-05-10,281.45,,0.0,101,DEFAULT
I00000247,C000022,16,2026-06-10,281.45,,0.0,70,DEFAULT
I00000248,C000022,17,2026-07-10,281.45,,0.0,40,DEFAULT
I00000249,C000022,18,2026-08-10,281.45,,0.0,9,DEFAULT
I00000250,C000023,1,2025-07-10,634.81,2025-07-13,634.81,3,LATE
I00000251,C000023,2,2025-08-10,634.81,2025-08-20,634.81,10,LATE
I00000252,C000023,3,2025-09-10,634.81,2025-09-13,634.81,3,LATE
I00000253,C000023,4,2025-10-10,634.81,2025-10-10,634.81,0,PAID
I00000254,C000023,5,2025-11-10,634.81,2025-11-13,634.81,3,LATE
I00000255,C000023,6,2025-12-10,634.81,2025-12-12,634.81,2,LATE
I00000256,C000023,7,2026-01-10,634.81,2026-01-11,634.81,1,LATE
I00000257,C000023,8,2026-02-10,634.81,2026-02-13,634.81,3,LATE
I00000258,C000023,9,2026-03-10,634.81,2026-03-13,634.81,3,LATE
I00000259,C000023,10,2026-04-10,634.81,2026-04-13,634.81,3,LATE
I00000260,C000023,11,2026-05-10,634.81,2026-05-13,634.81,3,LATE
I00000261,C000023,12,2026-06-10,634.81,2026-06-13,634.81,3,LATE
I00000262,C000024,1,2025-08-10,433.57,2025-08-12,433.57,2,LATE
I00000263,C000024,2,2025-09-10,433.57,2025-09-12,433.57,2,LATE
I00000264,C000024,3,2025-10-10,433.57,2025-10-11,433.57,1,LATE
I00000265,C000024,4,2025-11-10,433.57,2025-11-10,433.57,0,PAID
I00000266,C000024,5,2025-12-10,433.57,2025-12-10,433.57,0,PAID
I00000267,C000024,6,2026-01-10,433.57,2026-01-11,433.57,1,LATE
I00000268,C000024,7,2026-02-10,433.57,,0.0,101,DEFAULT
I00000269,C000024,8,2026-03-10,433.57,,0.0,162,DEFAULT
I00000270,C000024,9,2026-04-10,433.57,,0.0,131,DEFAULT
I00000271,C000024,10,2026-05-10,433.57,,0.0,101,DEFAULT
I00000272,C000024,11,2026-06-10,433.57,,0.0,70,DEFAULT
I00000273,C000024,12,2026-07-10,433.57,,0.0,40,DEFAULT
I00000274,C000024,13,2026-08-10,433.57,,0.0,9,DEFAULT
I00000275,C000025,1,2026-01-10,171.89,,0.0,112,DEFAULT
I00000276,C000025,2,2026-02-10,171.89,,0.0,190,DEFAULT
I00000277,C000025,3,2026-03-10,171.89,,0.0,162,DEFAULT
I00000278,C000025,4,2026-04-10,171.89,,0.0,131,DEFAULT
I00000279,C000025,5,2026-05-10,171.89,,0.0,101,DEFAULT
I00000280,C000025,6,2026-06-10,171.89,,0.0,70,DEFAULT
I00000281,C000025,7,2026-07-10,171.89,,0.0,40,DEFAULT
I00000282,C000025,8,2026-08-10,171.89,,0.0,9,DEFAULT
I00000283,C000026,1,2025-03-10,565.14,2025-03-11,565.14,1,LATE
I00000284,C000026,2,2025-04-10,565.14,2025-05-01,565.14,21,LATE
I00000285,C000026,3,2025-05-10,565.14,2025-05-11,565.14,1,LATE
I00000286,C000026,4,2025-06-10,565.14,2025-06-12,565.14,2,LATE
I00000287,C000026,5,2025-07-10,565.14,2025-07-10,565.14,0,PAID
I00000288,C000026,6,2025-08-10,565.14,2025-08-10,565.14,0,PAID
I00000289,C000026,7,2025-09-10,565.14,2025-09-10,565.14,0,PAID
I00000290,C000026,8,2025-10-10,565.14,2025-10-11,565.14,1,LATE
I00000291,C000026,9,2025-11-10,565.14,2025-11-11,565.14,1,LATE
I00000292,C000026,10,2025-12-10,565.14,2025-12-12,565.14,2,LATE
I00000293,C000027,1,2025-11-10,1493.53,2025-11-12,1493.53,2,LATE
I00000294,C000027,2,2025-12-10,1493.53,2025-12-11,1493.53,1,LATE
I00000295,C000027,3,2026-01-10,1493.53,2026-01-11,1493.53,1,LATE
I00000296,C000027,4,2026-02-10,1493.53,2026-02-11,1493.53,1,LATE
I00000297,C000027,5,2026-03-10,1493.53,2026-03-11,1493.53,1,LATE
I00000298,C000027,6,2026-04-10,1493.53,2026-04-12,1493.53,2,LATE
I00000299,C000027,7,2026-05-10,1493.53,2026-05-12,1493.53,2,LATE
I00000300,C000027,8,2026-06-10,1493.53,2026-06-12,1493.53,2,LATE
I00000301,C000027,9,2026-07-10,1493.53,2026-07-11,1493.53,1,LATE
I00000302,C000027,10,2026-08-10,1493.53,2026-08-12,1493.53,2,LATE
I00000303,C000028,1,2025-04-10,1707.33,2025-04-13,1707.33,3,LATE
I00000304,C000028,2,2025-05-10,1707.33,2025-06-03,1707.33,24,LATE
I00000305,C000028,3,2025-06-10,1707.33,2025-07-07,1707.33,27,LATE
I00000306,C000028,4,2025-07-10,1707.33,2025-07-12,1707.33,2,LATE
I00000307,C000028,5,2025-08-10,1707.33,2025-08-10,1707.33,0,PAID
I00000308,C000028,6,2025-09-10,1707.33,2025-09-11,1707.33,1,LATE
I00000309,C000028,7,2025-10-10,1707.33,2025-10-10,1707.33,0,PAID
I00000310,C000028,8,2025-11-10,1707.33,2025-11-10,1707.33,0,PAID
I00000311,C000028,9,2025-12-10,1707.33,2025-12-13,1707.33,3,LATE
I00000312,C000028,10,2026-01-10,1707.33,2026-01-10,1707.33,0,PAID
I00000313,C000028,11,2026-02-10,1707.33,2026-02-11,1707.33,1,LATE
I00000314,C000028,12,2026-03-10,1707.33,2026-03-10,1707.33,0,PAID
I00000315,C000028,13,2026-04-10,1707.33,2026-04-13,1707.33,3,LATE
I00000316,C000028,14,2026-05-10,1707.33,2026-05-10,1707.33,0,PAID
I00000317,C000028,15,2026-06-10,1707.33,2026-06-11,1707.33,1,LATE
I00000318,C000028,16,2026-07-10,1707.33,2026-07-11,1707.33,1,LATE
I00000319,C000028,17,2026-08-10,1707.33,2026-08-12,1707.33,2,LATE
I00000320,C000029,1,2026-01-10,517.04,,0.0,54,DEFAULT
I00000321,C000029,2,2026-02-10,517.04,,0.0,190,DEFAULT
I00000322,C000029,3,2026-03-10,517.04,,0.0,162,DEFAULT
I00000323,C000029,4,2026-04-10,517.04,,0.0,131,DEFAULT
I00000324,C000029,5,2026-05-10,517.04,,0.0,101,DEFAULT
I00000325,C000029,6,2026-06-10,517.04,,0.0,70,DEFAULT
I00000326,C000029,7,2026-07-10,517.04,,0.0,40,DEFAULT
I00000327,C000029,8,2026-08-10,517.04,,0.0,9,DEFAULT
I00000328,C000030,1,2026-01-10,833.54,2026-01-12,833.54,2,LATE
I00000329,C000030,2,2026-02-10,833.54,2026-02-10,833.54,0,PAID
I00000330,C000030,3,2026-03-10,833.54,,0.0,117,DEFAULT
I00000331,C000030,4,2026-04-10,833.54,,0.0,131,DEFAULT
I00000332,C000030,5,2026-05-10,833.54,,0.0,101,DEFAULT
I00000333,C000030,6,2026-06-10,833.54,,0.0,70,DEFAULT
I00000334,C000030,7,2026-07-10,833.54,,0.0,40,DEFAULT
I00000335,C000030,8,2026-08-10,833.54,,0.0,9,DEFAULT
I00000336,C000031,1,2026-02-10,747.96,2026-02-11,747.96,1,LATE
I00000337,C000031,2,2026-03-10,747.96,2026-03-13,747.96,3,LATE
I00000338,C000031,3,2026-04-10,747.96,2026-04-10,747.96,0,PAID
I00000339,C000031,4,2026-05-10,747.96,2026-06-08,747.96,29,LATE
I00000340,C000031,5,2026-06-10,747.96,2026-06-10,747.96,0,PAID
I00000341,C000031,6,2026-07-10,747.96,2026-07-10,747.96,0,PAID
I00000342,C000031,7,2026-08-10,747.96,2026-08-11,747.96,1,LATE
I00000343,C000032,1,2025-09-10,426.51,2025-09-13,426.51,3,LATE
I00000344,C000032,2,2025-10-10,426.51,2025-10-13,426.51,3,LATE
I00000345,C000032,3,2025-11-10,426.51,2025-11-11,426.51,1,LATE
I00000346,C000032,4,2025-12-10,426.51,2025-12-12,426.51,2,LATE
I00000347,C000032,5,2026-01-10,426.51,2026-01-12,426.51,2,LATE
I00000348,C000032,6,2026-02-10,426.51,2026-02-11,426.51,1,LATE
I00000349,C000032,7,2026-03-10,426.51,2026-03-13,426.51,3,LATE
I00000350,C000032,8,2026-04-10,426.51,2026-04-13,426.51,3,LATE
I00000351,C000032,9,2026-05-10,426.51,2026-05-12,426.51,2,LATE
I00000352,C000032,10,2026-06-10,426.51,2026-06-13,426.51,3,LATE
I00000353,C000032,11,2026-07-10,426.51,2026-07-22,426.51,12,LATE
I00000354,C000032,12,2026-08-10,426.51,2026-08-12,426.51,2,LATE
I00000355,C000033,1,2025-09-10,365.37,2025-09-12,365.37,2,LATE
I00000356,C000033,2,2025-10-10,365.37,2025-10-10,365.37,0,PAID
I00000357,C000033,3,2025-11-10,365.37,2025-12-01,365.37,21,LATE
I00000358,C000033,4,2025-12-10,365.37,2025-12-12,365.37,2,LATE
I00000359,C000033,5,2026-01-10,365.37,2026-01-11,365.37,1,LATE
