recovery_id,contract_id,recovery_date,recovery_amount,recovery_method,days_after_default
R00000084,C000098,2026-08-09,10622.84,Payment,60
R00000085,C000102,2026-07-09,5126.86,Payment,60
R00000086,C000102,2026-08-08,4614.18,Payment,90
R00000087,C000106,2026-06-08,758.42,Collection,90
R00000088,C000107,2025-12-10,19332.55,Payment,30
R00000089,C000107,2026-01-09,16110.46,Payment,60
R00000090,C000107,2026-05-09,10471.8,Renegotiation,180
R00000091,C000112,2026-07-10,2939.63,Collection,30
R00000092,C000113,2026-07-10,4158.53,Collection,30
R00000093,C000113,2026-08-09,3465.44,Renegotiation,60
R00000094,C000117,2025-09-09,7602.58,Payment,30
R00000095,C000117,2025-10-09,6335.48,Payment,60
R00000096,C000118,2025-12-10,4249.0,Payment,30
R00000097,C000118,2026-02-08,3186.75,Renegotiation,90
R00000098,C000118,2026-03-10,2655.62,Collection,120
R00000099,C000118,2026-05-09,2301.54,Payment,180
R00000100,C000123,2026-02-09,592.31,Collection,30
R00000101,C000123,2026-03-11,493.59,Payment,60
R00000102,C000123,2026-07-09,320.83,Renegotiation,180
R00000103,C000124,2026-01-09,3512.52,Payment,30
R00000104,C000124,2026-03-10,2634.39,Payment,90
R00000105,C000124,2026-06-08,1902.61,Renegotiation,180
R00000106,C000125,2026-02-07,4679.87,Payment,120
R00000107,C000127,2026-05-10,599.16,Payment,30
R00000108,C000127,2026-06-09,499.3,Collection,60
R00000109,C000127,2026-07-09,449.37,Collection,90
R00000110,C000129,2025-06-09,689.29,Renegotiation,30
R00000111,C000129,2025-08-08,516.97,Renegotiation,90
R00000112,C000133,2026-01-09,1616.06,Payment,60
R00000113,C000133,2026-02-08,1454.45,Payment,90
R00000114,C000137,2026-04-09,36317.1,Payment,30
R00000115,C000137,2026-05-09,30264.25,Settlement,60
R00000116,C000140,2026-05-11,734.41,Renegotiation,90
R00000117,C000140,2026-08-09,530.41,Collection,180
R00000118,C000141,2026-08-09,3042.7,Settlement,30
R00000119,C000143,2026-05-10,1345.74,Settlement,30
R00000120,C000143,2026-06-09,1121.45,Collection,60
R00000121,C000143,2026-07-09,1009.3,Payment,90
R00000122,C000146,2026-07-08,1008.75,Collection,120
R00000123,C000147,2026-04-09,10396.53,Renegotiation,30
R00000124,C000147,2026-06-08,7797.39,Payment,90
R00000125,C000148,2025-09-06,1703.15,Payment,180
R00000126,C000148,2026-03-05,1310.12,Payment,360
R00000127,C000149,2026-07-09,1961.23,Collection,60
R00000128,C000163,2025-11-09,6799.23,Collection,60
R00000129,C000163,2025-12-09,6119.31,Payment,90
R00000130,C000163,2026-03-09,4419.5,Settlement,180
R00000131,C000165,2026-03-12,1404.03,Payment,30
R00000132,C000165,2026-06-10,877.52,Settlement,120
R00000133,C000165,2026-08-09,760.52,Collection,180
R00000134,C000166,2025-09-09,2225.82,Payment,30
R00000135,C000166,2025-11-08,1669.36,Payment,90
R00000136,C000166,2025-12-08,1391.14,Settlement,120
R00000137,C000166,2026-02-06,1205.65,Renegotiation,180
R00000138,C000169,2026-05-10,3389.78,Settlement,30
R00000139,C000169,2026-06-09,2824.82,Collection,60
R00000140,C000171,2025-12-10,2360.99,Payment,30
R00000141,C000171,2026-01-09,1967.49,Collection,60
R00000142,C000171,2026-03-10,1475.62,Payment,120
R00000143,C000173,2026-07-08,9213.55,Payment,120
R00000144,C000177,2026-02-09,716.13,Renegotiation,30
R00000145,C000177,2026-05-10,447.58,Collection,120
R00000146,C000177,2026-07-09,387.9,Settlement,180
R00000147,C000178,2026-08-09,5879.59,Payment,30
R00000148,C000179,2026-07-10,553.96,Renegotiation,30
R00000149,C000182,2026-04-10,892.07,Payment,90
R00000150,C000184,2026-01-09,11277.61,Payment,30
R00000151,C000184,2026-03-10,8458.21,Collection,90
R00000152,C000184,2026-04-09,7048.51,Payment,120
R00000153,C000192,2026-06-09,4670.46,Collection,60
R00000154,C000192,2026-07-09,4203.42,Payment,90
R00000155,C000198,2026-07-10,1554.74,Collection,30
R00000156,C000201,2026-05-09,1667.72,Renegotiation,60
R00000157,C000201,2026-07-08,1250.79,Payment,120
R00000158,C000202,2026-07-10,720.89,Payment,30
R00000159,C000202,2026-08-09,600.74,Payment,60
R00000160,C000203,2025-07-09,4923.15,Renegotiation,60
R00000161,C000203,2025-11-06,3200.05,Payment,180
R00000162,C000203,2026-05-05,2461.57,Renegotiation,360
R00000163,C000209,2026-05-10,1525.28,Renegotiation,30
R00000164,C000210,2025-09-08,6877.25,Collection,60
R00000165,C000210,2025-10-08,6189.53,Payment,90
R00000166,C000210,2025-11-07,5157.94,Collection,120
R00000167,C000211,2026-03-12,2494.77,Payment,30
R00000168,C000211,2026-04-11,2078.98,Renegotiation,60
R00000169,C000211,2026-06-10,1559.23,Collection,120
R00000170,C000215,2026-08-08,1741.7,Payment,90
R00000171,C000221,2026-02-09,910.09,Settlement,30
R00000172,C000221,2026-04-10,682.57,Collection,90
R00000173,C000221,2026-05-10,568.81,Payment,120
R00000174,C000221,2026-07-09,492.97,Payment,180
R00000175,C000223,2025-05-09,1512.77,Payment,60
R00000176,C000223,2025-06-08,1361.49,Payment,90
R00000177,C000223,2025-09-06,983.3,Payment,180
R00000178,C000228,2026-02-09,931.4,Settlement,30
R00000179,C000228,2026-05-10,582.12,Collection,120
R00000180,C000228,2026-07-09,504.51,Renegotiation,180
R00000181,C000229,2026-08-09,5839.54,Collection,60
R00000182,C000230,2026-02-09,992.7,Payment,30
R00000183,C000230,2026-07-09,537.72,Settlement,180
R00000184,C000234,2025-09-07,747.15,Payment,120
R00000185,C000234,2025-11-06,647.53,Collection,180
R00000186,C000234,2026-05-05,498.1,Payment,360
R00000187,C000235,2026-06-09,924.72,Collection,60
R00000188,C000235,2026-08-08,693.54,Payment,120
R00000189,C000236,2026-07-09,1058.53,Settlement,60
R00000190,C000236,2026-08-08,952.67,Renegotiation,90
R00000191,C000237,2026-07-10,3608.43,Payment,30
R00000192,C000240,2026-07-09,1847.66,Payment,90
R00000193,C000241,2026-08-08,1270.03,Renegotiation,90
R00000194,C000246,2026-03-11,1112.62,Renegotiation,60
R00000195,C000247,2026-06-09,803.59,Collection,30
R00000196,C000260,2026-07-09,2485.05,Collection,60
R00000197,C000263,2026-01-09,1887.63,Payment,60
R00000198,C000263,2026-05-09,1226.96,Renegotiation,180
R00000199,C000264,2026-08-09,13971.47,Payment,60
R00000200,C000275,2026-05-10,1057.44,Settlement,30
R00000201,C000275,2026-07-09,793.08,Payment,90
R00000202,C000276,2026-02-07,537.46,Payment,120
R00000203,C000277,2025-11-09,985.63,Collection,30
R00000204,C000277,2025-12-09,821.36,Collection,60
R00000205,C000277,2026-04-08,533.88,Settlement,180
R00000206,C000280,2026-04-09,1828.63,Collection,30
R00000207,C000280,2026-05-09,1523.86,Renegotiation,60
R00000208,C000280,2026-07-08,1142.89,Payment,120
R00000209,C000283,2025-11-08,3136.11,Payment,90
R00000210,C000283,2025-12-08,2613.42,Collection,120
R00000211,C000287,2026-07-09,2257.97,Collection,60
R00000212,C000290,2026-01-08,1664.39,Payment,90
R00000213,C000290,2026-02-07,1386.99,Payment,120
R00000214,C000291,2026-08-09,1812.53,Payment,60
R00000215,C000296,2026-08-09,485.32,Settlement,30
R00000216,C000301,2026-08-09,1177.57,Collection,60
R00000217,C000305,2026-08-08,632.8,Collection,90
R00000218,C000306,2025-04-11,3887.82,Payment,60
R00000219,C000306,2025-05-11,3499.04,Payment,90
R00000220,C000306,2026-02-05,1943.91,Payment,360
R00000221,C000312,2026-04-09,1277.31,Payment,30
R00000222,C000312,2026-05-09,1064.43,Payment,60
R00000223,C000312,2026-07-08,798.32,Collection,120
R00000224,C000313,2026-04-09,200.78,Payment,30
R00000225,C000313,2026-06-08,150.58,Renegotiation,90
R00000226,C000313,2026-07-08,125.49,Payment,120
R00000227,C000316,2025-11-07,5270.52,Settlement,120
R00000228,C000316,2026-01-06,4567.78,Settlement,180
R00000229,C000322,2025-09-09,1108.69,Collection,30
R00000230,C000322,2025-12-08,692.93,Payment,120
R00000231,C000322,2026-08-05,461.95,Collection,360
R00000232,C000327,2025-12-10,354.21,Payment,30
R00000233,C000329,2026-03-11,2243.53,Settlement,60
R00000234,C000329,2026-05-10,1682.65,Collection,120
R00000235,C000329,2026-07-09,1458.29,Settlement,180
R00000236,C000331,2026-01-08,4327.27,Renegotiation,120
R00000237,C000337,2025-05-09,741.61,Collection,60
R00000238,C000337,2025-07-08,556.2,Collection,120
R00000239,C000337,2025-09-06,482.04,Payment,180
R00000240,C000338,2026-05-09,2392.7,Payment,60
R00000241,C000338,2026-07-08,1794.53,Payment,120
R00000242,C000341,2026-07-10,857.98,Settlement,30
R00000243,C000343,2026-04-09,1066.8,Renegotiation,30
R00000244,C000343,2026-07-08,666.75,Renegotiation,120
R00000245,C000345,2026-06-09,2680.64,Collection,30
R00000246,C000352,2025-12-09,1542.37,Renegotiation,90
R00000247,C000352,2026-03-09,1113.93,Payment,180
R00000248,C000354,2025-10-09,1084.38,Payment,60
R00000249,C000354,2025-11-08,975.94,Collection,90
R00000250,C000354,2026-02-06,704.84,Payment,180
R00000251,C000354,2026-08-05,542.19,Renegotiation,360
R00000252,C000357,2025-07-10,1638.62,Payment,30
R00000253,C000357,2025-10-08,1024.14,Renegotiation,120
R00000254,C000357,2025-12-07,887.59,Payment,180
R00000255,C000357,2026-06-05,682.76,Payment,360
R00000256,C000362,2025-10-10,1954.04,Payment,30
R00000257,C000362,2025-12-09,1465.53,Payment,90
R00000258,C000362,2026-01-08,1221.27,Payment,120
R00000259,C000366,2025-12-07,4720.33,Payment,180
R00000260,C000366,2026-06-05,3631.02,Settlement,360
R00000261,C000371,2026-02-08,21713.51,Payment,90
R00000262,C000371,2026-05-09,15681.98,Payment,180
R00000263,C000373,2026-07-10,1206.33,Payment,30
R00000264,C000373,2026-08-09,1005.27,Collection,60
R00000265,C000374,2026-04-09,2214.42,Settlement,30
R00000266,C000374,2026-06-08,1660.82,Settlement,90
R00000267,C000378,2026-02-09,9546.28,Payment,30
R00000268,C000378,2026-04-10,7159.71,Payment,90
R00000269,C000378,2026-05-10,5966.42,Payment,120
R00000270,C000379,2026-03-12,9199.3,Renegotiation,30
R00000271,C000379,2026-06-10,5749.56,Collection,120
R00000272,C000380,2025-11-09,451.03,Collection,30
R00000273,C000380,2025-12-09,375.86,Payment,60
R00000274,C000380,2026-02-07,281.89,Renegotiation,120
R00000275,C000380,2026-04-08,244.31,Payment,180
R00000276,C000383,2025-05-09,5532.52,Payment,60
R00000277,C000383,2026-03-05,2766.26,Payment,360
R00000278,C000384,2026-03-12,1518.79,Renegotiation,30
R00000279,C000384,2026-04-11,1265.66,Payment,60
R00000280,C000384,2026-05-11,1139.09,Payment,90
R00000281,C000390,2025-08-08,575.3,Renegotiation,90
R00000282,C000390,2025-09-07,479.41,Payment,120
R00000283,C000390,2025-11-06,415.49,Collection,180
R00000284,C000390,2026-05-05,319.61,Settlement,360
R00000285,C000396,2026-06-09,4823.45,Payment,60
R00000286,C000400,2025-11-09,869.19,Renegotiation,30
R00000287,C000400,2025-12-09,724.33,Payment,60
R00000288,C000400,2026-02-07,543.25,Settlement,120
R00000289,C000400,2026-04-08,470.81,Collection,180
R00000290,C000401,2026-03-11,2566.36,Payment,60
R00000291,C000402,2026-06-09,1701.47,Renegotiation,60
R00000292,C000402,2026-07-09,1531.33,Payment,90
R00000293,C000403,2026-03-12,618.58,Renegotiation,30
R00000294,C000403,2026-05-11,463.94,Payment,90
R00000295,C000403,2026-06-10,386.62,Payment,120
R00000296,C000406,2025-10-10,38342.91,Payment,30
R00000297,C000407,2025-03-12,11937.69,Collection,30
R00000298,C000407,2025-05-11,8953.26,Payment,90
R00000299,C000407,2025-08-09,6466.25,Settlement,180
R00000300,C000408,2026-08-09,1164.86,Renegotiation,30
R00000301,C000409,2025-08-09,1163.52,Collection,30
R00000302,C000409,2026-01-06,630.24,Settlement,180
R00000303,C000409,2026-07-05,484.8,Payment,360
R00000304,C000410,2026-03-12,614.23,Renegotiation,30
R00000305,C000410,2026-04-11,511.86,Payment,60
R00000306,C000412,2026-03-10,832.35,Settlement,90
R00000307,C000412,2026-04-09,693.62,Payment,120
R00000308,C000412,2026-06-08,601.14,Collection,180
R00000309,C000419,2025-12-07,4839.66,Payment,180
R00000310,C000419,2026-06-05,3722.82,Collection,360
R00000311,C000422,2026-02-09,418.97,Payment,30
R00000312,C000422,2026-05-10,261.86,Renegotiation,120
R00000313,C000427,2026-08-09,1970.8,Collection,30
R00000314,C000429,2026-07-10,417.73,Payment,30
R00000315,C000429,2026-08-09,348.11,Payment,60
R00000316,C000430,2026-07-10,1353.95,Renegotiation,30
R00000317,C000430,2026-08-09,1128.29,Collection,60
R00000318,C000431,2026-05-09,3248.55,Payment,60
R00000319,C000432,2026-01-08,9918.71,Settlement,90
R00000320,C000432,2026-04-08,7163.51,Payment,180
R00000321,C000433,2026-03-11,2443.33,Collection,60
R00000322,C000433,2026-04-10,2198.99,Renegotiation,90
R00000323,C000433,2026-05-10,1832.5,Payment,120
R00000324,C000437,2026-08-09,2490.83,Payment,60
R00000325,C000441,2026-06-08,2021.36,Settlement,180
R00000326,C000446,2026-08-08,1980.4,Payment,120
R00000327,C000448,2025-12-09,4883.77,Renegotiation,60
R00000328,C000448,2026-02-07,3662.83,Settlement,120
R00000329,C000450,2026-04-09,10072.57,Payment,30
R00000330,C000450,2026-05-09,8393.81,Collection,60
R00000331,C000453,2026-04-09,1765.5,Payment,30
R00000332,C000453,2026-05-09,1471.25,Payment,60
R00000333,C000453,2026-06-08,1324.13,Collection,90
R00000334,C000461,2026-06-09,1718.98,Renegotiation,30
R00000335,C000465,2026-04-09,2707.21,Payment,30
R00000336,C000465,2026-05-09,2256.01,Payment,60
R00000337,C000465,2026-06-08,2030.41,Payment,90
R00000338,C000467,2026-05-10,6243.31,Settlement,30
R00000339,C000467,2026-06-09,5202.76,Renegotiation,60
R00000340,C000467,2026-07-09,4682.49,Payment,90
R00000341,C000467,2026-08-08,3902.07,Collection,120
R00000342,C000468,2026-07-09,581.91,Payment,180
R00000343,C000469,2025-06-09,12395.57,Settlement,30
R00000344,C000469,2025-07-09,10329.64,Collection,60
R00000345,C000469,2025-09-07,7747.23,Renegotiation,120
R00000346,C000473,2025-11-09,621.61,Settlement,30
R00000347,C000473,2026-01-08,466.21,Payment,90
R00000348,C000473,2026-02-07,388.51,Payment,120
R00000349,C000478,2026-06-09,2844.51,Renegotiation,30
R00000350,C000478,2026-07-09,2370.43,Payment,60
R00000351,C000479,2026-04-09,1019.07,Collection,30
R00000352,C000479,2026-07-08,636.92,Collection,120
R00000353,C000489,2026-05-10,2536.19,Payment,30
R00000354,C000489,2026-07-09,1902.14,Settlement,90
R00000355,C000489,2026-08-08,1585.12,Payment,120
R00000356,C000490,2026-07-10,6270.96,Renegotiation,30
R00000357,C000490,2026-08-09,5225.8,Collection,60
R00000358,C000494,2026-05-10,3953.05,Payment,30
R00000359,C000494,2026-07-09,2964.79,Payment,90
R00000360,C000496,2026-04-11,2485.66,Payment,60
R00000361,C000496,2026-08-09,1615.68,Collection,180
R00000362,C000498,2026-07-09,2312.53,Collection,90
R00000363,C000498,2026-08-08,1927.11,Settlement,120
R00000364,C000499,2026-04-11,488.18,Settlement,60
R00000365,C000499,2026-06-10,366.13,Settlement,120
R00000366,C000500,2026-06-09,1196.87,Payment,30
R00000367,C000500,2026-08-08,897.65,Collection,90
R00000368,C000501,2026-01-09,3954.23,Settlement,30
R00000369,C000501,2026-02-08,3295.19,Collection,60
R00000370,C000501,2026-03-10,2965.67,Collection,90
R00000371,C000501,2026-04-09,2471.39,Payment,120
R00000372,C000502,2026-07-10,502.8,Payment,30
R00000373,C000502,2026-08-09,419.0,Renegotiation,60
R00000374,C000510,2026-01-09,4108.16,Settlement,30
R00000375,C000510,2026-03-10,3081.12,Settlement,90
R00000376,C000510,2026-04-09,2567.6,Renegotiation,120
R00000377,C000513,2025-11-09,2505.53,Payment,30
R00000378,C000514,2026-01-08,18224.49,Payment,120
R00000379,C000514,2026-03-09,15794.55,Renegotiation,180
R00000380,C000520,2026-06-09,9320.41,Settlement,30
R00000381,C000524,2025-12-09,263.15,Collection,90
R00000382,C000524,2026-01-08,219.29,Collection,120
R00000383,C000526,2026-06-09,16911.76,Payment,30
R00000384,C000526,2026-08-08,12683.82,Payment,90
R00000385,C000530,2025-05-09,21833.52,Collection,60
R00000386,C000530,2025-07-08,16375.14,Renegotiation,120
R00000387,C000530,2025-09-06,14191.79,Renegotiation,180
R00000388,C000531,2026-07-09,145.33,Payment,60
R00000389,C000534,2026-01-09,14478.85,Renegotiation,30
R00000390,C000534,2026-06-08,7842.71,Renegotiation,180
R00000391,C000536,2026-02-09,1612.51,Renegotiation,30
R00000392,C000536,2026-03-11,1343.76,Payment,60
R00000393,C000536,2026-04-10,1209.38,Payment,90
R00000394,C000537,2026-08-09,1823.88,Payment,30
R00000395,C000539,2026-06-09,910.08,Collection,30
R00000396,C000539,2026-07-09,758.4,Payment,60
R00000397,C000539,2026-08-08,682.56,Payment,90
R00000398,C000541,2026-06-09,904.52,Payment,30
R00000399,C000541,2026-08-08,678.39,Renegotiation,90
R00000400,C000543,2026-04-11,2408.82,Settlement,60
R00000401,C000543,2026-06-10,1806.61,Collection,120
R00000402,C000543,2026-08-09,1565.73,Renegotiation,180
R00000403,C000549,2026-03-12,99.2,Collection,30
R00000404,C000549,2026-05-11,74.4,Collection,90
R00000405,C000549,2026-08-09,53.73,Renegotiation,180
R00000406,C000553,2025-12-09,677.94,Settlement,60
R00000407,C000553,2026-02-07,508.45,Payment,120
R00000408,C000556,2026-02-09,867.15,Collection,30
R00000409,C000556,2026-04-10,650.36,Renegotiation,90
R00000410,C000558,2025-06-09,3647.91,Payment,30
R00000411,C000558,2025-07-09,3039.93,Payment,60
R00000412,C000558,2025-09-07,2279.95,Payment,120
R00000413,C000558,2025-11-06,1975.95,Payment,180
R00000414,C000559,2026-08-09,1820.82,Settlement,30
R00000415,C000562,2025-10-10,3896.84,Collection,30
R00000416,C000563,2026-08-09,6084.92,Renegotiation,30
R00000417,C000565,2025-05-10,1783.84,Collection,30
R00000418,C000565,2025-06-09,1486.53,Settlement,60
R00000419,C000565,2026-04-05,743.27,Settlement,360
R00000420,C000567,2026-03-12,648.71,Collection,30
R00000421,C000567,2026-05-11,486.53,Payment,90
R00000422,C000571,2026-03-10,786.4,Payment,90
R00000423,C000571,2026-04-09,655.33,Payment,120
R00000424,C000574,2026-08-09,4732.68,Payment,30
R00000425,C000575,2026-03-12,1330.55,Payment,30
R00000426,C000575,2026-06-10,831.59,Renegotiation,120
R00000427,C000575,2026-08-09,720.71,Renegotiation,180
R00000428,C000576,2025-05-10,591.79,Settlement,30
R00000429,C000576,2025-06-09,493.16,Collection,60
R00000430,C000576,2025-07-09,443.84,Payment,90
R00000431,C000576,2025-08-08,369.87,Settlement,120
R00000432,C000578,2026-03-11,1463.45,Payment,60
R00000433,C000578,2026-04-10,1317.1,Payment,90
R00000434,C000578,2026-05-10,1097.58,Payment,120
R00000435,C000578,2026-07-09,951.24,Payment,180
R00000436,C000580,2026-07-09,2360.3,Payment,180
R00000437,C000584,2026-02-09,1574.21,Payment,30
R00000438,C000584,2026-03-11,1311.84,Collection,60
R00000439,C000584,2026-04-10,1180.66,Payment,90
R00000440,C000587,2026-02-08,416.68,Collection,60
R00000441,C000587,2026-03-10,375.01,Payment,90
R00000442,C000587,2026-06-08,270.84,Payment,180
R00000443,C000588,2026-07-09,4292.58,Payment,90
R00000444,C000588,2026-08-08,3577.15,Collection,120
R00000445,C000592,2026-07-10,60.45,Payment,30
R00000446,C000594,2026-01-09,5703.37,Payment,30
R00000447,C000594,2026-03-10,4277.53,Settlement,90
R00000448,C000594,2026-06-08,3089.32,Settlement,180
R00000449,C000596,2025-11-09,428.35,Payment,30
R00000450,C000596,2025-12-09,356.96,Payment,60
R00000451,C000596,2026-01-08,321.26,Payment,90
R00000452,C000598,2026-05-09,33083.76,Payment,60
R00000453,C000601,2026-05-09,10529.46,Renegotiation,60
R00000454,C000601,2026-06-08,9476.52,Payment,90
R00000455,C000601,2026-07-08,7897.1,Payment,120
R00000456,C000602,2026-03-10,150.49,Payment,90
R00000457,C000602,2026-04-09,125.41,Renegotiation,120
R00000458,C000605,2026-06-09,1309.33,Payment,60
R00000459,C000605,2026-07-09,1178.4,Collection,90
R00000460,C000607,2026-02-09,7369.62,Payment,30
R00000461,C000607,2026-04-10,5527.21,Settlement,90
R00000462,C000608,2025-12-10,1694.65,Renegotiation,30
R00000463,C000608,2026-01-09,1412.21,Collection,60
R00000464,C000608,2026-03-10,1059.16,Payment,120
R00000465,C000609,2025-06-09,2260.84,Collection,60
R00000466,C000609,2025-07-09,2034.76,Settlement,90
R00000467,C000616,2026-03-12,3670.34,Renegotiation,30
R00000468,C000616,2026-08-09,1988.1,Settlement,180
R00000469,C000617,2026-05-10,1417.01,Payment,30
R00000470,C000617,2026-07-09,1062.76,Collection,90
R00000471,C000619,2025-10-09,1163.4,Settlement,60
R00000472,C000619,2025-11-08,1047.06,Settlement,90
R00000473,C000619,2026-08-05,581.7,Settlement,360
R00000474,C000622,2025-11-09,7721.18,Payment,30
R00000475,C000622,2026-01-08,5790.88,Renegotiation,90
R00000476,C000622,2026-02-07,4825.74,Payment,120
R00000477,C000622,2026-04-08,4182.31,Collection,180
R00000478,C000623,2026-05-09,221.52,Renegotiation,60
R00000479,C000624,2026-03-12,7601.33,Payment,30
R00000480,C000624,2026-04-11,6334.44,Payment,60
R00000481,C000624,2026-05-11,5701.0,Payment,90
R00000482,C000624,2026-08-09,4117.39,Payment,180
R00000483,C000628,2025-12-10,2403.58,Payment,30
R00000484,C000628,2026-01-09,2002.98,Renegotiation,60
R00000485,C000628,2026-03-10,1502.24,Renegotiation,120
R00000486,C000629,2025-05-10,2146.69,Renegotiation,30
R00000487,C000629,2025-10-07,1162.79,Collection,180
R00000488,C000629,2026-04-05,894.46,Payment,360
R00000489,C000630,2026-01-08,1516.53,Payment,90
R00000490,C000630,2026-02-07,1263.77,Payment,120
R00000491,C000631,2026-02-08,958.34,Renegotiation,90
R00000492,C000631,2026-05-09,692.14,Renegotiation,180
R00000493,C000635,2025-05-10,1672.07,Payment,30
R00000494,C000635,2025-06-09,1393.39,Payment,60
R00000495,C000639,2025-10-08,5051.68,Payment,90
R00000496,C000639,2026-07-05,2806.49,Payment,360
R00000497,C000642,2025-12-10,355.86,Renegotiation,30
R00000498,C000642,2026-01-09,296.55,Settlement,60
R00000499,C000642,2026-05-09,192.76,Payment,180
R00000500,C000643,2026-02-09,1011.0,Settlement,30
R00000501,C000643,2026-03-11,842.5,Payment,60
R00000502,C000643,2026-07-09,547.62,Payment,180
R00000503,C000644,2026-08-09,2745.57,Renegotiation,30
R00000504,C000645,2026-06-08,555.07,Payment,90
R00000505,C000645,2026-07-08,462.56,Payment,120
R00000506,C000652,2026-03-12,1494.46,Settlement,30
R00000507,C000654,2026-02-08,1195.19,Payment,90
R00000508,C000654,2026-03-10,995.99,Payment,120
R00000509,C000654,2026-05-09,863.19,Settlement,180
